class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,class_name
009,Hispanic,6460.680600000001,74546,0.08666703243634803,0.011062722203467039,Electronics & Software
010,White,5224.4668,7593,0.6880635848808113,0.043640902517940505,Surgical/Medical/Dental
010,Black,792.5174999999999,7593,0.10437475306203081,0.04177358456532328,Surgical/Medical/Dental
010,API,721.3424,7593,0.09500097458185171,0.06550172628804285,Surgical/Medical/Dental
010,AIAN,43.218700000000005,7593,0.00569191360463585,0.05551328642397278,Surgical/Medical/Dental
010,2+races,138.0303,7593,0.018178625049387595,0.0502727150438492,Surgical/Medical/Dental
010,Hispanic,642.0144,7593,0.08455345713156855,0.06192615255426666,Surgical/Medical/Dental
011,White,3712.9351,5522,0.6723895508873596,0.06612624409625886,Lighting/Heating
011,Black,581.8006,5522,0.10536048533140167,0.06484642857666616,Lighting/Heating
011,API,646.9645,5522,0.11716126403477002,0.11349496171129098,Lighting/Heating
011,AIAN,33.06,5522,0.00598696124592539,0.07352839731466827,Lighting/Heating
011,2+races,100.34020000000001,5522,0.018170988772183993,0.07302783907659788,Lighting/Heating
011,Hispanic,424.8654,5522,0.07694049257515394,0.07167360299384481,Lighting/Heating
012,White,4440.504500000001,6265,0.7087796488427774,0.035583708782660414,Vehicles
012,Black,667.4518,6265,0.10653660015961693,0.03709644803611595,Vehicles
012,API,486.1726,6265,0.07760137270550678,0.09112632549594142,Vehicles
012,AIAN,39.1036,6265,0.006241596169193934,0.02881454836127167,Vehicles
012,2+races,109.4355,6265,0.017467757382282522,0.043037577533784246,Vehicles
012,Hispanic,499.5077,6265,0.07972988028731046,0.06135302033504516,Vehicles
013,White,670.7543000000001,900,0.7452825555555557,0.07208415866148243,Firearms
013,Black,98.9684,900,0.10996488888888889,0.08392103631023982,Firearms
013,API,40.0886,900,0.04454288888888889,0.11866506784190206,Firearms
013,2+races,15.577000000000002,900,0.01730777777777778,0.0796750107504823,Firearms
013,Hispanic,63.263999999999996,900,0.07029333333333333,0.07913855739877092,Firearms
014,White,5566.8307,8225,0.67681832218845,0.023411910286553206,Jewelry
014,Black,938.6579,8225,0.11412254103343465,0.02971567994499719,Jewelry
014,API,731.6965,8225,0.08896006079027356,0.06483252814654017,Jewelry
014,AIAN,48.082899999999995,8225,0.005845945288753799,0.02489434203748497,Jewelry
014,2+races,151.94920000000002,8225,0.018474066869300913,0.03124331913586804,Jewelry
014,Hispanic,756.8678,8225,0.09202040121580547,0.04782306783668026,Jewelry
015,White,849.1164000000001,1123,0.7561143365983972,-0.040896148406100896,Musical Instruments
015,Black,114.8109,1123,0.10223588601959038,-0.014540289320259742,Musical Instruments
015,API,55.5817,1123,0.04949394479073909,-0.06708703976412812,Musical Instruments
015,2+races,20.0227,1123,0.017829652715939448,-0.033436793278885775,Musical Instruments
015,Hispanic,72.9881,1123,0.06499385574354408,-0.0033854848159263766,Musical Instruments
016,White,34273.8341,47251,0.725356798797909,0.02892708891321026,Paper/Print
016,Black,6086.9833,47251,0.12882231698800026,0.04133402580556546,Paper/Print
016,API,2053.0578,47251,0.043450039152610524,0.05427262077062587,Paper/Print
016,AIAN,306.4225,47251,0.006484995026560285,0.03268223541345306,Paper/Print
016,2+races,852.9413,47251,0.018051285687075404,0.03577674606849364,Paper/Print
016,Hispanic,3514.0194,47251,0.07436920700091004,0.054079208203244876,Paper/Print
017,White,862.2781,1185,0.7276608438818566,0.02265123967912366,Rubber/Plastic
017,Black,119.7227,1185,0.10103181434599157,0.013726053721770123,Rubber/Plastic
017,API,66.9619,1185,0.056507932489451476,0.03288190747525304,Rubber/Plastic
017,2+races,21.2831,1185,0.01796042194092827,0.022679615333829724,Rubber/Plastic
017,Hispanic,102.3683,1185,0.08638675105485233,0.049074053524849136,Rubber/Plastic
018,White,5625.658600000001,8601,0.6540702941518429,0.05091828663847172,Leather
018,Black,1049.2533,8601,0.12199201255667946,0.04113525109228167,Leather
018,API,835.2958000000001,8601,0.09711612603185678,0.03290828102929007,Leather
018,AIAN,55.5247,8601,0.006455609812812464,0.04902826181430807,Leather
018,2+races,160.19350000000003,8601,0.018624985466806188,0.04231757880653862,Leather
018,Hispanic,845.6903,8601,0.09832464829670969,0.045901336810058355,Leather
019,White,1871.1743000000001,2554,0.7326445967110415,0.006497821623833291,Building Materials
019,Black,262.2726,2554,0.10269091620986688,0.0072499977855249136,Building Materials
019,API,152.8792,2554,0.059858731401722785,0.015413018578706986,Building Materials
019,AIAN,16.034399999999998,2554,0.006278151918559122,0.006869458997787532,Building Materials
019,2+races,43.8708,2554,0.01717729052466719,0.013322434256741917,Building Materials
019,Hispanic,198.61599999999999,2554,0.07776664056382145,-0.005985674961884983,Building Materials
020,White,6594.3599,9225,0.7148357615176152,0.06549974343896067,Furniture
020,Black,975.9616000000001,9225,0.10579529539295394,0.07236149062799674,Furniture
020,API,687.5332,9225,0.07452934417344173,0.12963937057329125,Furniture
020,AIAN,59.147099999999995,9225,0.00641160975609756,0.06253554977516644,Furniture
020,2+races,164.178,9225,0.017797073170731707,0.07754966414858792,Furniture
020,Hispanic,708.1448,9225,0.07676366395663957,0.0887662948387551,Furniture
021,White,8593.8337,12902,0.6660853898620368,0.08124269788361957,Household Utensils
021,Black,1465.3838,12902,0.11357803441326926,0.07985899580545333,Household Utensils
021,API,1232.3745,12902,0.09551809796930708,0.09932792630857522,Household Utensils
021,AIAN,84.30930000000001,12902,0.006534591536195939,0.07675097875281055,Household Utensils
021,2+races,242.47910000000002,12902,0.01879391567198884,0.08135721557205285,Household Utensils
021,Hispanic,1234.2468000000001,12902,0.09566321500542553,0.08162549668592678,Household Utensils
022,White,766.9837,1087,0.7055967801287949,0.11675887230854373,Ropes/Nets/Textiles
022,Black,125.3664,1087,0.11533247470101196,0.12211146322462561,Ropes/Nets/Textiles
022,API,77.5135,1087,0.0713095676172953,0.1673446614412197,Ropes/Nets/Textiles
022,2+races,19.3653,1087,0.01781536338546458,0.11556117356146767,Ropes/Nets/Textiles
022,Hispanic,86.8225,1087,0.07987350505979761,0.11287790544119013,Ropes/Nets/Textiles
024,White,2718.4231,4077,0.6667704439538876,0.062085774620736785,Fabrics
024,Black,542.663,4077,0.13310350748099092,0.06273879510488484,Fabrics
024,API,348.4189,4077,0.08545962717684571,0.07221124084395533,Fabrics
024,AIAN,26.459200000000003,4077,0.0064898700024527845,0.06432663613969039,Fabrics
024,2+races,80.6572,4077,0.01978346823644837,0.06491889525583097,Fabrics
024,Hispanic,345.524,4077,0.08474957076281579,0.05402936175157144,Fabrics
025,White,74828.8861,117920,0.634573321743555,-0.011842539234986392,Clothing & Footwear
025,Black,18941.5431,117920,0.16063045369742196,-0.009629664706227354,Clothing & Footwear
025,API,6737.348300000001,117920,0.05713490756445048,-0.020276048185732,Clothing & Footwear
025,AIAN,794.8076000000001,117920,0.006740227272727274,-0.010577759645578309,Clothing & Footwear
025,2+races,2258.611,117920,0.019153756784260515,-0.012106964456651418,Clothing & Footwear
025,Hispanic,14002.684000000001,117920,0.11874732021709634,-0.008002491478795521,Clothing & Footwear
026,White,1698.1199,2648,0.6412839501510573,0.12234588636787931,Lace/Embroidery
026,Black,413.3538,2648,0.1561003776435045,0.1615922406930672,Lace/Embroidery
026,API,218.8869,2648,0.08266121601208459,0.2060367306037422,Lace/Embroidery
026,AIAN,18.691300000000002,2648,0.007058648036253777,0.1168511575428656,Lace/Embroidery
026,2+races,50.4636,2648,0.019057250755287008,0.14123800773289566,Lace/Embroidery
026,Hispanic,240.03,2648,0.09064577039274925,0.13685801596740618,Lace/Embroidery
027,White,345.0059,495,0.6969816161616161,0.10976023716653041,Carpets
027,Black,51.2431,495,0.10352141414141414,0.11092505421236154,Carpets
027,API,40.2495,495,0.08131212121212121,0.13501795697076907,Carpets
027,Hispanic,43.4136,495,0.08770424242424243,0.09765622344287206,Carpets
028,White,16342.262999999999,22612,0.7227252343888201,0.002902653315424595,Toys & Sports
028,Black,2497.3611,22612,0.1104440606757474,0.0054559087973459425,Toys & Sports
028,API,1363.1051,22612,0.06028237661418716,0.03640380796634934,Toys & Sports
028,AIAN,138.1461,22612,0.006109415354678931,0.0047214078523983094,Toys & Sports
028,2+races,399.8219,22612,0.017681845922519018,0.0056406208318817794,Toys & Sports
028,Hispanic,1788.6707000000001,22612,0.07910271979479923,0.023629388584626466,Toys & Sports
029,White,3844.6445000000003,5812,0.6615011183757743,0.003055792765345098,Meat/Fish/Dairy
029,Black,628.5899,5812,0.10815380247763247,-0.000984417315654296,Meat/Fish/Dairy
029,API,595.9939999999999,5812,0.10254542326221609,0.02255298886036779,Meat/Fish/Dairy
