year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1974,119,93.4358,11.5721,5.146000000000001,0.8545,2.2201,5.3077000000000005,0.7851747899159663,0.09724453781512606,0.0432436974789916,0.007180672268907564,0.018656302521008403,0.04460252100840337
1975,285,221.9296,32.2068,11.2428,1.8042,5.3725000000000005,11.16,0.7787003508771929,0.11300631578947369,0.039448421052631584,0.006330526315789474,0.01885087719298246,0.03915789473684211
1976,506,396.7281,59.3123,12.093200000000001,2.957,8.9698,23.569300000000002,0.784047628458498,0.11721798418972332,0.023899604743083006,0.005843873517786561,0.01772687747035573,0.04657964426877471
1977,995,766.5348,118.4612,33.1531,8.8369,18.2823,46.0908,0.7703867336683418,0.11905648241206031,0.033319698492462316,0.008881306532663317,0.018374170854271357,0.04632241206030151
1978,1089,854.3025,130.5198,28.225900000000003,6.5258,19.3643,45.6974,0.7844834710743802,0.11985289256198348,0.025919100091827366,0.00599247015610652,0.017781726354453627,0.041962718089990816
1979,343,265.0808,44.3425,10.134300000000001,2.0106,6.526800000000001,13.4222,0.7728303206997085,0.1292784256559767,0.029546064139941694,0.005861807580174927,0.01902857142857143,0.039131778425655975
1980,233,164.5901,30.9826,16.186400000000003,2.2714,5.0985000000000005,12.523200000000001,0.7063952789699571,0.1329725321888412,0.06946952789699572,0.009748497854077253,0.02188197424892704,0.05374763948497854
1981,303,225.4969,47.1558,8.093100000000002,2.435,5.6883,12.53,0.7442141914191419,0.15562970297029702,0.026709900990099015,0.008036303630363036,0.018773267326732672,0.04135313531353135
1982,1432,1112.6601,170.3546,37.0078,8.6784,25.1604,72.8039,0.7769972765363129,0.1189627094972067,0.025843435754189948,0.006060335195530726,0.017570111731843575,0.05084071229050279
1983,1301,1012.6135,151.92260000000002,38.5511,8.492700000000001,22.4078,61.8577,0.7783347425057648,0.116773712528824,0.029631898539584933,0.006527824750192161,0.017223520368946966,0.047546272098385856
1984,2205,1710.2351,257.7848,75.5852,14.121500000000001,39.4179,99.1889,0.7756168253968254,0.11690920634920636,0.034279002267573695,0.0064043083900226765,0.017876598639455784,0.044983628117913836
1985,3164,2454.8032,368.0769,92.0552,19.3973,55.8912,159.93460000000002,0.7758543615676359,0.11633277496839445,0.029094563843236408,0.006130625790139065,0.01766472819216182,0.05054823008849558
1986,3198,2496.4812,356.851,106.878,19.5996,56.6409,148.3878,0.7806382739212008,0.11158567854909318,0.033420262664165104,0.0061287054409005625,0.017711350844277673,0.04640018761726079
1987,3504,2732.3541,401.8568,108.6342,22.2497,61.4091,163.2637,0.7797814212328767,0.1146851598173516,0.03100291095890411,0.0063498002283105025,0.01752542808219178,0.046593521689497715
1988,3785,2919.7299000000003,427.7631,136.1827,23.861900000000002,65.7748,197.1319,0.7713949537648613,0.1130153500660502,0.03597957727873184,0.0063043328929986795,0.017377754293262878,0.052082404227212685
1989,4517,3520.2577,498.8638,153.3511,26.9487,78.5247,220.4498,0.7793353331857428,0.11044139915873367,0.03394976754483064,0.005966061545273411,0.01738425946424618,0.048804471994686745
1990,7737,5988.0891,881.1181,267.1154,47.0252,135.6904,387.5656,0.7739549050019388,0.11388368876825643,0.03452441514799018,0.006077963034767998,0.017537857050536385,0.05009249062944294
1991,7511,5812.2334,832.9049,266.8655,44.8873,131.4065,395.0055,0.7738295033950207,0.11089134602582879,0.035529956064438824,0.005976208227932366,0.017495207029689788,0.052590267607508984
1992,6866,5313.4426,778.4906,235.4584,45.1312,121.25150000000001,346.308,0.7738774541217595,0.11338342557529857,0.03429338770754442,0.006573143023594524,0.01765969997087096,0.05043810078648412
1993,8652,6682.5768,980.3015,301.42490000000004,52.348,153.9394,448.6924,0.7723736477115117,0.11330345584835877,0.034838754045307445,0.0060503929727230695,0.017792348589921406,0.05185996301433195
1994,8496,6512.4854000000005,970.3834,319.29650000000004,52.9516,147.9425,457.77410000000003,0.7665354755178908,0.11421650188323917,0.037581979755178914,0.006232532956685499,0.017413194444444443,0.053881132297551794
1995,9685,7431.3442000000005,1064.0526,370.3857,59.8019,169.5371,551.9774,0.7673045121321632,0.10986604026845638,0.03824323180175529,0.006174692823954569,0.01750512132163139,0.05699302013422819
1996,10748,8163.8416,1230.1970000000001,445.0367,68.0575,192.0473,607.8884,0.7595684406401191,0.11445822478600672,0.04140646631931522,0.006332108299218459,0.01786818943059174,0.056558280610346116
1997,11163,8411.5113,1306.0157,468.22700000000003,70.2339,196.9513,667.1632,0.7535170921795217,0.11699504613455164,0.041944548956373735,0.006291668906208009,0.01764322314789931,0.05976558272865717
1998,12218,9227.5421,1380.6626,554.9924,76.1232,218.797,712.7722,0.7552416189229006,0.11300234080864299,0.0454241610738255,0.006230414143067605,0.017907759044033394,0.05833787853985922
