cls,class_name,year,n_filings,n_unique_owners,top10_count,top10_share,hhi
008,Hand Tools,1990,942,706,90,0.09554140127388536,25.626462195897062
008,Hand Tools,1991,916,693,81,0.08842794759825327,23.907820217005778
008,Hand Tools,1992,996,699,79,0.07931726907630522,22.842373510104668
008,Hand Tools,1993,1040,718,91,0.0875,25.5362426035503
008,Hand Tools,1994,1099,811,77,0.07006369426751592,19.16706477308762
008,Hand Tools,1995,1357,915,171,0.1260132645541636,49.28184272276887
008,Hand Tools,1996,1421,945,126,0.08866995073891626,22.65702806153401
008,Hand Tools,1997,1461,1015,87,0.059548254620123205,16.326848037569082
008,Hand Tools,1998,1581,1109,90,0.056925996204933584,14.798598633920117
008,Hand Tools,1999,1702,1262,84,0.04935370152761457,12.040856060679285
008,Hand Tools,2000,1680,1221,99,0.05892857142857143,13.874716553287984
008,Hand Tools,2001,1505,1065,99,0.06578073089700996,16.110197459189195
008,Hand Tools,2002,1659,1204,88,0.05304400241109102,13.141826724814795
008,Hand Tools,2003,1854,1296,103,0.05555555555555555,12.981058477021024
008,Hand Tools,2004,2076,1423,137,0.06599229287090559,14.260601943117232
008,Hand Tools,2005,2021,1375,121,0.05987135081642751,13.531839485501202
008,Hand Tools,2006,2199,1538,125,0.056844020009095046,11.897176793536106
008,Hand Tools,2007,2213,1551,131,0.05919566199728875,12.514882991255101
008,Hand Tools,2008,2019,1404,140,0.06934125804853888,14.299518614764493
008,Hand Tools,2009,1801,1286,98,0.05441421432537479,12.86533084679651
008,Hand Tools,2010,2041,1417,147,0.0720235178833905,14.554643046359049
008,Hand Tools,2011,2157,1464,130,0.0602688919796013,12.996897036505443
008,Hand Tools,2012,2168,1525,124,0.05719557195571956,11.786672294767225
008,Hand Tools,2013,2414,1660,138,0.05716652858326429,11.785710118207174
008,Hand Tools,2014,2587,1834,113,0.04367993815229996,9.193778950952916
008,Hand Tools,2015,3044,2151,139,0.04566360052562418,8.601397635381897
008,Hand Tools,2016,3798,2745,175,0.04607688256977357,7.5037414719811775
008,Hand Tools,2017,4572,3441,204,0.04461942257217848,6.013437952801831
008,Hand Tools,2018,5014,3859,209,0.04168328679696849,5.221916328735066
008,Hand Tools,2019,5581,4205,379,0.06790897688586275,17.294773096358973
008,Hand Tools,2020,10053,8278,213,0.02118770516263802,2.033290010769442
008,Hand Tools,2021,9340,7612,250,0.02676659528907923,2.474219240768677
008,Hand Tools,2022,6221,5079,170,0.027326796334994373,3.3412710591999795
008,Hand Tools,2023,6722,5518,180,0.02677774471883368,3.2603535257186835
008,Hand Tools,2024,7942,6567,202,0.025434399395618233,2.6162353973890657
008,Hand Tools,2025,7275,5995,165,0.02268041237113402,2.6503229768188854
009,Software & Electronics,1985,8148,5717,185,0.02270495827196858,3.2227791743756704
009,Software & Electronics,1986,8392,5892,178,0.02121067683508103,2.976187771548736
009,Software & Electronics,1987,8759,6175,146,0.016668569471400847,2.7503881285005423
009,Software & Electronics,1988,9678,6794,196,0.020252118206240958,2.6932530221638515
009,Software & Electronics,1989,11885,7936,359,0.030206142196045435,3.407992985646876
009,Software & Electronics,1990,17192,11465,318,0.018496975337366217,1.9747949472099635
009,Software & Electronics,1991,16522,10923,360,0.02178912964532139,2.1716888990335153
009,Software & Electronics,1992,17334,11062,397,0.022902965270566518,2.2207389339566497
009,Software & Electronics,1993,20840,13047,563,0.027015355086372362,2.3598129980364058
009,Software & Electronics,1994,23017,14319,516,0.022418212625450754,1.938626528906103
009,Software & Electronics,1995,27519,16590,541,0.01965914459100985,1.7456993243089467
009,Software & Electronics,1996,32408,19120,547,0.016878548506541594,1.42817362386667
009,Software & Electronics,1997,34580,20348,625,0.01807403123192597,1.4211519812566966
009,Software & Electronics,1998,35464,21784,568,0.016016241822693435,1.153315914127423
009,Software & Electronics,1999,46041,28046,581,0.01261918724615017,0.9473133938773534
009,Software & Electronics,2000,54422,31823,581,0.010675829627724082,0.7912000569727249
009,Software & Electronics,2001,40520,24025,1506,0.03716683119447187,4.446916151238248
009,Software & Electronics,2002,34365,21691,526,0.015306270915175323,1.2053398643286655
009,Software & Electronics,2003,32959,21184,702,0.021299189902606267,1.479274959945275
009,Software & Electronics,2004,35740,22517,945,0.026440962506994965,2.7670306813900933
009,Software & Electronics,2005,38347,23977,675,0.01760242000678019,1.2637467481139508
009,Software & Electronics,2006,39401,24831,663,0.016826984086698308,1.1534174479835098
009,Software & Electronics,2007,41820,26256,838,0.020038259206121473,1.3877996405080095
009,Software & Electronics,2008,39008,24643,892,0.02286710418375718,1.6240279438693208
009,Software & Electronics,2009,35956,22923,973,0.027060852152630994,2.017474887818848
