cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
A44,1980,663,596,0.0023272796762283054,0.048265460030165915
A44,1990,1087,929,0.0015784097246965695,0.04139834406623735
A44,2000,1088,940,0.0014749810769896206,0.03400735294117647
A44,2010,1414,1208,0.0010963310919897811,0.026874115983026876
A44,2020,813,728,0.0015416759333645009,0.02214022140221402
A45,1980,1714,1401,0.001409219700755256,0.042590431738623105
A45,1990,3379,2539,0.0011418295600641164,0.04527966854098846
A45,2000,3270,2476,0.0009073310327413524,0.037920489296636085
A45,2010,5053,3612,0.0007582009484346197,0.034434989115377006
A45,2020,3228,2428,0.0008090223555045776,0.03066914498141264
A46,1980,392,347,0.003748438150770508,0.06377551020408163
A46,1990,855,730,0.002020450736978901,0.0456140350877193
A46,2000,959,821,0.0016277383136109158,0.03858185610010428
A46,2010,1096,921,0.00149015664127018,0.03375912408759124
A46,2020,669,590,0.002187411324936716,0.04484304932735426
A47,1980,8552,5608,0.0012772246340223346,0.04922825070159027
A47,1990,14570,8807,0.0011781431463095122,0.050102951269732326
A47,2000,15377,9317,0.0007886205160791773,0.04071015152500488
A47,2010,19045,11259,0.0006152677182401125,0.03565240220530323
A47,2020,11884,7652,0.0006071962778076551,0.033911141029956245
A61,1980,21382,12866,0.0009589143963723922,0.042372088672715365
A61,1990,48778,24948,0.0006695895838959555,0.03794743531920128
A61,2000,63842,31022,0.0004645908906556704,0.029588672034084145
A61,2010,115119,49004,0.00042051957838652623,0.02683310313675414
A61,2020,93779,42258,0.00044303901613556044,0.027255568944006655
A62,1980,1053,899,0.002865236483470102,0.06552706552706553
A62,1990,1962,1552,0.0018465004296724418,0.05504587155963303
A62,2000,1660,1343,0.0014726375381042232,0.04397590361445783
A62,2010,2278,1848,0.0011435103571128492,0.04214223002633889
A62,2020,1665,1430,0.0009973937901865831,0.03123123123123123
A63,1980,7347,4979,0.0014432993013928988,0.052402341091602016
A63,1990,13523,8317,0.0010215204139294972,0.04740072469126673
A63,2000,12589,7873,0.0007680764541183592,0.038922869171498925
A63,2010,17436,10445,0.0005998603433177651,0.03475567790777701
A63,2020,10411,6839,0.0005997568699848946,0.03265776582460859
B01,1980,10014,6656,0.0015652542202849308,0.05402436588775714
B01,1990,14745,9392,0.0009748314312683771,0.045235673109528654
B01,2000,16610,10354,0.0006921763979468784,0.03594220349187237
B01,2010,21392,12723,0.0005748903958392658,0.03146035901271503
B01,2020,14716,9232,0.000607580353838603,0.03254960587116064
B02,1980,579,508,0.003481077791797557,0.06390328151986183
B02,1990,748,644,0.002437873545139981,0.058823529411764705
B02,2000,632,549,0.003379867008492228,0.06487341772151899
B02,2010,963,818,0.0016034609740027956,0.03426791277258567
B02,2020,497,445,0.002724597079458645,0.0482897384305835
B03,1980,970,848,0.0024062068232543325,0.058762886597938144
B03,1990,851,739,0.0024261220296575145,0.052878965922444184
B03,2000,742,657,0.001914400505663284,0.03773584905660377
B03,2010,1037,878,0.0015613245313934115,0.03857280617164899
B03,2020,391,366,0.0029500068680869433,0.03580562659846547
B04,1980,378,341,0.004353181601858864,0.07142857142857142
B04,1990,399,362,0.0033605316549519225,0.05263157894736842
B04,2000,337,310,0.0036013348713117162,0.04747774480712166
B04,2010,342,320,0.003505352074142469,0.04678362573099415
B05,1980,2799,2240,0.0017232970331745837,0.05466237942122187
B05,1990,4531,3362,0.0011516339461141694,0.04612668285146767
B05,2000,4504,3382,0.0007989740321608734,0.03574600355239787
B05,2010,5685,4128,0.0007133525014909856,0.03324538258575198
B05,2020,3306,2598,0.0007692845397596044,0.0323653962492438
B06,1990,384,360,0.0033637152777777762,0.052083333333333336
B06,2000,370,342,0.003257852447041641,0.04594594594594595
B06,2010,394,353,0.0033368548532556885,0.050761421319796954
B06,2020,337,300,0.004112037615898706,0.06824925816023739
B07,1980,775,665,0.002838709677419356,0.06064516129032258
B07,1990,1011,860,0.00246252645234762,0.058358061325420374
B07,2000,867,759,0.0017414116742429336,0.040369088811995385
B07,2010,1068,905,0.0017604398995637474,0.04681647940074907
B07,2020,707,627,0.0020146084117403473,0.04101838755304102
B08,1980,587,511,0.0032417309740574553,0.06643952299829642
B08,1990,1318,1092,0.0019457448057824307,0.05083459787556904
B08,2000,1482,1248,0.0014378570739107728,0.0398110661268556
B08,2010,2177,1758,0.0009784085468639114,0.03123564538355535
B08,2020,1291,1099,0.0014717873426288543,0.042602633617350893
B09,1990,884,768,0.001824798837042649,0.03959276018099547
B09,2000,636,566,0.002155769154701159,0.040880503144654086
B09,2010,474,434,0.0027150207409781186,0.04852320675105485
B21,1980,2289,1808,0.0018171508426056506,0.05329838357361293
B21,1990,2695,2106,0.0013389737747013125,0.04712430426716141
B21,2000,2395,1931,0.0009802955879725074,0.03465553235908142
B21,2010,2411,1962,0.0009222557815597356,0.03442554956449606
B21,2020,1250,1078,0.00133248,0.0376
B22,1980,1738,1471,0.0017221493165033694,0.05063291139240506
B22,1990,2094,1709,0.0013569492678859598,0.04297994269340974
B22,2000,1899,1585,0.0010085405666517204,0.031068983675618746
B22,2010,2308,1907,0.0009108548669536174,0.03162911611785095
B22,2020,2175,1804,0.0009468093539437176,0.033563218390804596
B23,1980,6365,4517,0.0015451497628243612,0.05404556166535742
B23,1990,7504,5335,0.0011049188833475042,0.04797441364605544
B23,2000,7488,5312,0.0008970192764263281,0.04046474358974359
B23,2010,8716,6004,0.0006624310952664475,0.033845800826067
B23,2020,5022,3731,0.0006838885407591703,0.030864197530864196
B24,1980,1552,1291,0.002379702943989797,0.06572164948453608
B24,1990,2822,2203,0.0014247175051144668,0.04748405386250886
B24,2000,3610,2674,0.0010500226364131646,0.040997229916897505
B24,2010,2659,2077,0.001076760598341141,0.03986461075592328
B24,2020,1396,1172,0.0012735938128586792,0.03581661891117478
B25,1980,3347,2596,0.0016477705822024536,0.05318195398864655
B25,1990,4725,3459,0.0013403880070546738,0.04973544973544974
B25,2000,4889,3539,0.001009483556011151,0.04315811004295357
B25,2010,6579,4686,0.0008079108493747045,0.03784769721842225
B25,2020,6310,4516,0.0006612400511350938,0.029160063391442156
B26,1980,1702,1403,0.0018309833872088063,0.057579318448883664
