row_idx,year,n_terms,dkl,survived_5y,total_competitors,live_competitors,share_neighbors_alive
636216,2010,4,-0.16218653121271132,false,88,54,0.6136363636363636
404010,2009,17,-0.036286849311899516,true,0,0,0.0
167853,1997,9,-0.1836370764968951,false,5,2,0.4
215709,1999,6,0.02023051694584499,true,3,3,1.0
184969,1998,10,-0.1013807901849928,true,1,0,0.0
1064796,2019,9,-0.18701915178293937,false,0,0,0.0
485739,2004,43,0.034330904364595405,false,1,0,0.0
27763,1991,8,0.09085627121464679,false,0,0,0.0
1035703,2019,52,-0.13201444329328105,false,1,1,1.0
556822,2006,10,0.025808009929041198,false,1,0,0.0
350905,2007,4,-0.15848961065543676,true,2,2,1.0
350332,2007,62,0.01345811034081379,true,0,0,0.0
221044,1999,14,-0.3545887262352503,true,3,3,1.0
693977,2012,78,0.18608348531700258,false,1,0,0.0
1049471,2019,27,0.09409028683498644,false,0,0,0.0
567151,2009,173,-0.03766581360978538,false,1,0,0.0
38327,1992,17,0.05680175636181062,false,0,0,0.0
370093,2008,131,-0.07142109925344631,false,1,0,0.0
635207,2010,57,-0.24189855343604805,true,627,366,0.583732057416268
492945,2004,4,-0.19391739363481175,false,3,2,0.6666666666666666
7416,1990,9,0.41099268125232324,false,7,2,0.2857142857142857
991224,2018,110,-0.047191291187753226,true,0,0,0.0
934951,2017,58,0.09123283944519134,false,0,0,0.0
612138,2018,82,-0.05719802800895302,false,0,0,0.0
908677,2017,42,-0.12228931036959434,true,1,0,0.0
602025,2017,22,0.04566668306125177,false,0,0,0.0
903935,2017,67,0.08032305879834656,true,0,0,0.0
925138,2017,35,-0.11044542702320825,false,0,0,0.0
293314,2002,8,0.1686302498423098,true,0,0,0.0
656417,2011,12,0.2566812407429282,false,0,0,0.0
1042962,2019,313,0.05081799393906383,false,0,0,0.0
313384,2004,11,-0.2980641243656512,false,1,0,0.0
904488,2017,13,-0.09943228454997577,true,0,0,0.0
954186,2017,162,0.07414786442310373,false,19,15,0.7894736842105263
365591,2007,31,0.26799500293369416,true,0,0,0.0
41638,1992,18,-0.04158207164409067,false,0,0,0.0
286243,2001,19,-0.010870081140705423,false,1,1,1.0
994085,2018,35,0.028961521824165892,true,0,0,0.0
946923,2017,373,0.02034992937825786,true,4,2,0.5
269672,2001,13,-0.12806107559088176,true,1,0,0.0
425686,2009,3,-0.05234198885912633,false,22,16,0.7272727272727273
94287,1995,5,-0.5854826825299417,true,9,6,0.6666666666666666
810721,2015,90,0.06658485124596591,false,2,1,0.5
40112,1992,21,-0.045769208733339006,true,0,0,0.0
285863,2001,13,-0.13564758892249085,false,0,0,0.0
513776,2005,34,0.008414918694838569,true,0,0,0.0
964656,2018,6,-0.03332254163504533,false,6,0,0.0
36970,1992,85,0.03943412271837232,false,0,0,0.0
238268,2000,73,-0.02891174995167134,false,0,0,0.0
838014,2015,35,-0.1511194552145101,true,800,349,0.43625
53067,1993,29,0.1596570208958088,false,0,0,0.0
580847,2013,245,-0.00337816291241122,false,0,0,0.0
626588,2010,48,0.10719326069711776,true,3,2,0.6666666666666666
133431,1996,5,-0.046327776511740915,false,2,0,0.0
401523,2009,28,0.18877186930315926,false,0,0,0.0
1016050,2019,123,-0.01988689726582127,true,0,0,0.0
1027515,2019,9,0.15428895452597136,false,28,8,0.2857142857142857
457510,2002,350,0.039952817772576754,false,1,1,1.0
331699,2006,33,0.09364206232503891,true,276,186,0.6739130434782609
726880,2013,9,0.5284789398961385,true,57,28,0.49122807017543857
945500,2017,10,-0.0453509662625633,true,0,0,0.0
124583,1996,20,0.2578128768141372,false,0,0,0.0
1029006,2019,45,0.0665652289934453,true,1,1,1.0
534070,2006,17,-0.07718536406089083,true,3,3,1.0
440724,2000,6,-0.18814411850850554,true,0,0,0.0
149246,1996,37,0.01286010128001891,true,0,0,0.0
474942,2003,168,0.03777276187433953,false,6,3,0.5
364355,2007,56,-0.04597360606992229,true,1,1,1.0
350772,2007,35,0.010565434120677786,false,0,0,0.0
782313,2014,30,0.14440103757405787,false,1,0,0.0
83083,1994,8,-0.16437407634530032,false,1,0,0.0
934036,2017,104,-0.17697765672065646,false,28,16,0.5714285714285714
129849,1996,15,-0.10812863444524545,false,0,0,0.0
36235,1992,21,0.18274835689360014,false,0,0,0.0
868153,2016,122,-0.043863152017790785,false,1,0,0.0
477227,2003,32,0.04536347177546052,false,1,0,0.0
323307,2007,29,-0.28962541961022215,true,11,5,0.45454545454545453
179162,1997,9,-0.024270967343953842,false,0,0,0.0
203929,1998,11,-0.1309536897910739,false,0,0,0.0
492408,2004,31,-0.0356254619942904,false,0,0,0.0
51526,1993,18,-0.13732056271547588,false,1,0,0.0
1007775,2018,35,0.1973902626279509,true,0,0,0.0
955486,2017,115,-0.16167477023993815,true,0,0,0.0
193998,1998,14,-0.006720659519218408,true,0,0,0.0
85337,1994,9,-0.17980201184605882,false,0,0,0.0
912223,2017,15,0.052019560815340427,false,223,116,0.5201793721973094
265399,2000,165,0.016883824404765324,true,0,0,0.0
828741,2015,14,0.014463020945871818,true,2,2,1.0
431175,2010,20,0.09198590398262585,true,0,0,0.0
838020,2015,249,0.006585606037276648,true,0,0,0.0
692117,2012,32,0.11334077233944306,true,0,0,0.0
1011451,2018,11,0.20910482516736284,false,4,2,0.5
286333,2001,27,0.03632257340260203,false,3,0,0.0
72750,1994,8,-0.025941342311424975,true,0,0,0.0
269729,2001,7,0.06026946324846438,false,32,17,0.53125
398223,2008,6,0.1504027359218556,false,1198,719,0.6001669449081803
985871,2018,7,0.11735425340481598,false,81,45,0.5555555555555556
537650,2006,23,0.03156932918374178,false,0,0,0.0
535686,2006,12,0.041617572879459,false,1,0,0.0
49432,1993,19,0.09335764154215376,true,8,5,0.625
659378,2011,11,-0.5876789777382765,false,100,46,0.46
931196,2017,40,0.03424403755200256,false,6,4,0.6666666666666666
708728,2012,15,0.03731249089676769,true,0,0,0.0
651521,2011,65,-0.14378622273873365,true,0,0,0.0
431580,2010,60,0.09166534626467637,true,0,0,0.0
109150,1995,38,-0.16766862795427784,false,0,0,0.0
705686,2012,17,-0.009022256948234997,true,2,2,1.0
631186,2010,22,0.21118090380710353,false,0,0,0.0
422973,2009,70,-0.21808320067899345,false,1,1,1.0
1022993,2019,36,-0.02309375136141867,true,0,0,0.0
250255,2000,12,-0.0869026495655385,true,5,5,1.0
733724,2013,11,-0.02852255890063482,true,895,493,0.5508379888268157
770000,2014,13,0.21437920193428717,false,0,0,0.0
125821,1996,23,-0.09638658598226346,false,1,1,1.0
714010,2012,47,0.001914171895378125,true,0,0,0.0
170892,1997,124,0.0799706106859368,false,1,0,0.0
909144,2017,74,0.07513990388497671,false,2,1,0.5
688022,2012,27,-0.24672611379516862,true,0,0,0.0
316744,2004,25,-0.2825275355934451,true,4,4,1.0
854509,2016,48,-0.03326232762312742,false,0,0,0.0
1039816,2019,16,-0.22093761132648737,false,0,0,0.0
26837,1991,17,0.4554638846613548,false,0,0,0.0
674477,2011,6,-0.21928232806825143,false,9,4,0.4444444444444444
301595,2002,32,-0.2321834327359067,true,0,0,0.0
340264,2007,10,-0.2982180568295121,false,14,10,0.7142857142857143
123243,1996,29,-0.03480390734034966,false,1,0,0.0
149772,1997,14,0.10845958891501706,true,0,0,0.0
176247,1997,3,-0.15096439350967295,false,0,0,0.0
88375,1994,3,-0.23587913076691613,true,8,5,0.625
156599,1997,30,-0.1942454968914582,false,0,0,0.0
453,1990,22,1.657787980985466,true,0,0,0.0
338621,2007,24,-0.05345652399797718,true,0,0,0.0
10706,1990,38,0.4812019141848509,true,0,0,0.0
1023975,2019,18,-0.020814717018849294,false,0,0,0.0
501287,2005,17,-0.2955019008621642,true,3,3,1.0
977294,2018,97,-0.05978397959614412,false,0,0,0.0
164687,1997,22,0.03732737873782899,true,0,0,0.0
389793,2008,4,-0.09472781260778795,true,12,8,0.6666666666666666
533491,2006,20,0.058335338937560266,true,0,0,0.0
653881,2011,5,-0.23171125261035197,true,5,2,0.4
709301,2012,134,0.20047154132908673,false,0,0,0.0
70802,1994,5,-0.3796632964416613,false,4,0,0.0
444176,2001,11,-0.263226516738877,true,0,0,0.0
599410,2016,123,-0.08689801390967933,false,0,0,0.0
371307,2008,30,0.19983867669982391,false,0,0,0.0
839934,2015,64,-0.06628032582638665,false,1,1,1.0
571909,2010,127,0.03141985572067618,false,1,0,0.0
791425,2014,25,0.185532485049543,false,0,0,0.0
950079,2017,39,0.07125685023093364,true,0,0,0.0
283921,2001,68,0.017350390796893933,true,0,0,0.0
184050,1998,18,-0.24229531196439336,false,0,0,0.0
642313,2010,38,0.001316525664130097,true,3,3,1.0
356294,2007,27,-0.11375887843423271,false,1,0,0.0
136821,1996,9,0.2938688785017476,true,4,4,1.0
197829,1998,8,-0.07033347943055723,false,9,3,0.3333333333333333
239503,2000,16,0.04083507312907386,false,7,6,0.8571428571428571
916488,2017,21,-0.08101560273245667,false,3,2,0.6666666666666666
1034725,2019,33,0.14733322248769642,false,1,0,0.0
1003552,2018,53,-0.016605545267799116,false,0,0,0.0
1009013,2018,128,-0.10733554924321975,true,68,54,0.7941176470588235
720213,2013,41,0.23897712230864432,false,0,0,0.0
483142,2004,13,0.11172094295964552,true,0,0,0.0
842589,2015,47,-0.07675229126139005,true,1,1,1.0
773969,2014,21,-0.04983984732334612,true,2,0,0.0
399539,2009,100,-0.07556468920787829,false,2,2,1.0
402629,2009,6,-0.3480064204412896,true,5,2,0.4
219207,1999,21,-0.16997355534376535,true,0,0,0.0
373495,2008,72,-0.06797304685726768,true,0,0,0.0
1003010,2018,7,-0.017134004545712678,false,6,3,0.5
220375,1999,78,0.052048987623097176,true,5,5,1.0
154746,1997,45,0.03779490499882421,true,0,0,0.0
81701,1994,78,0.08757741892338977,true,1,1,1.0
865686,2016,69,-0.04198122730888709,true,27,10,0.37037037037037035
466856,2003,30,0.06790592363850578,false,28,9,0.32142857142857145
291719,2002,14,-0.2458610288067984,true,4,3,0.75
887851,2016,110,-0.11979662851421757,true,0,0,0.0
335093,2006,45,0.10393382411980578,true,102,81,0.7941176470588235
313912,2004,22,0.09472872318573167,false,0,0,0.0
57896,1993,10,0.0403331553842321,false,0,0,0.0
2781,1990,33,1.0654026024566958,false,0,0,0.0
76194,1994,12,0.13858069922135563,true,0,0,0.0
884795,2016,9,-0.13066265030457114,true,791,408,0.515802781289507
204299,1998,164,-0.09298019994105022,false,0,0,0.0
842543,2015,16,0.13479056376104914,true,17,9,0.5294117647058824
441800,2000,16,-0.0018815819643940301,false,2,1,0.5
