outcome,axis,bin,n,rate,mid,lo,hi
currently_live,$KL_{\mathrm{retr}}$,11,238763,0.8004045853000674,5.296307982190503,0.7987965025324948,0.8020030014468718
currently_live,$KL_{\mathrm{retr}}$,12,238764,0.7952413261630732,5.472504684735753,0.793617971796845,0.7968551800951476
currently_live,$KL_{\mathrm{retr}}$,13,238763,0.7931505300234961,5.660051540884177,0.7915211032159815,0.7947705236361116
currently_live,$KL_{\mathrm{retr}}$,14,238764,0.7901400546145985,5.862289345507798,0.7885020083105175,0.7917687646359844
currently_live,$KL_{\mathrm{retr}}$,15,238763,0.788983217667729,6.087749682766958,0.7873418902975712,0.7906152459415673
currently_live,$KL_{\mathrm{retr}}$,16,238763,0.7886439691241943,6.3477304522916285,0.7870016843241927,0.790276965744444
currently_live,$KL_{\mathrm{retr}}$,17,238764,0.7914551607445008,6.666911956520746,0.7898208646229407,0.793080078265174
currently_live,$KL_{\mathrm{retr}}$,18,238763,0.7961535078718227,7.105621581320118,0.7945328187777321,0.7977646671391734
currently_live,$KL_{\mathrm{retr}}$,19,238764,0.8047946926672362,8.057323428737996,0.8031999298409748,0.8063796476459794
in_sec,$\Delta KL$,0,503004,0.05784844653322836,-0.47566256799360146,0.057206643386757086,0.05849700332951309
in_sec,$\Delta KL$,1,503005,0.053727100128229344,-0.2713470697345188,0.05310737698809491,0.05435363985618634
in_sec,$\Delta KL$,2,503002,0.04922644442765635,-0.206650185740072,0.04863200640959117,0.04982776781979821
in_sec,$\Delta KL$,3,503004,0.04707716042019547,-0.1648593250896715,0.0464952767161118,0.047665962300246306
in_sec,$\Delta KL$,4,503005,0.04545282850071073,-0.13289140089132434,0.044880654222195726,0.0460319457522696
in_sec,$\Delta KL$,5,503002,0.04422646430829301,-0.10647382909569644,0.04366175160741279,0.04479813875581674
in_sec,$\Delta KL$,6,503004,0.04322033224387878,-0.08353133369466272,0.042661832737989236,0.043785808836909024
in_sec,$\Delta KL$,7,503003,0.04168961218919171,-0.06274000953859651,0.04114072362332612,0.04224550123711919
in_sec,$\Delta KL$,8,503004,0.04078894004819047,-0.043260600398988,0.04024580146809613,0.0413390928537581
in_sec,$\Delta KL$,9,503004,0.04117462286582214,-0.024479226883301435,0.040629013544701734,0.041727240521298475
in_sec,$\Delta KL$,10,503003,0.03998982113426759,-0.005745952527907848,0.03945184376439285,0.040534824949737015
in_sec,$\Delta KL$,11,503004,0.04078695199242948,0.013494194598989607,0.04024382618235938,0.04133709205833946
in_sec,$\Delta KL$,12,503003,0.04105144502120266,0.033742916585007755,0.04050662282509686,0.04160327744708266
in_sec,$\Delta KL$,13,503004,0.04091816367265469,0.05565606780645342,0.04037419579665163,0.04146914380030307
in_sec,$\Delta KL$,14,503006,0.04069931571392787,0.08024233677581478,0.040156754247037595,0.041248892747365075
in_sec,$\Delta KL$,15,503001,0.040407474339017216,0.10899084749209305,0.039866790943941126,0.040955177828138366
in_sec,$\Delta KL$,16,503004,0.03995395662857552,0.14491947280001685,0.03941621281200288,0.04049872742458684
in_sec,$\Delta KL$,17,503003,0.03921248978634322,0.19481542374373845,0.038679589695151194,0.03975242819651161
in_sec,$\Delta KL$,18,503004,0.036643843786530524,0.27730692406010166,0.036128137070401016,0.037166628042461576
in_sec,$\Delta KL$,19,503004,0.03489634277262209,0.5628158024630499,0.03439272170414047,0.03540706807313285
in_sec,$KL_{\mathrm{pros}}$,0,503005,0.044055228079243745,2.626848255865185,0.04349156854542135,0.0446258519337339
