year,n,mean_dkl,std_dkl,mean_abs_dkl,share_pos,class_id
1999,28620,-0.07696711709951908,0.3579344381845179,0.2583710663305692,0.4744584206848358,042
2000,39576,-0.11073611763204382,0.3164544350725306,0.251298242434053,0.39688194865575094,042
2001,22272,-0.1310807548141656,0.3952007066409412,0.29627993756282334,0.4175646551724138,042
2002,11719,-0.0087431350117015,0.29243817120695764,0.20493728246741072,0.5477429814830617,042
2003,10716,0.0012260712140876938,0.24946042719227898,0.17451161379815613,0.5346211272863008,042
2004,12336,-0.009790572539905007,0.2306644422381524,0.16233705414962288,0.4965142671854734,042
2005,13663,-0.01277781368564466,0.20715676142775213,0.14688250872138472,0.4665154065724951,042
2006,15750,-0.01669969401695772,0.21998190681750876,0.15013717414803932,0.43593650793650796,042
2007,18612,0.0032403493984815004,0.21796799426131183,0.1490486837139118,0.4521276595744681,042
2008,19361,0.019118519226633265,0.20810900748455047,0.1488669355699559,0.4843241568100821,042
2009,17883,0.029817385692008334,0.19985147553930657,0.14923783198391236,0.5157412067326511,042
2010,19986,0.02614066550338457,0.1941586650363927,0.14587114848937224,0.5202641849294506,042
2011,23021,0.028542569497601533,0.17120842051043403,0.13063994334107307,0.5469354068024846,042
2012,25398,0.014791819876994046,0.15158314481332372,0.11590951156737435,0.5289786597369872,042
2013,26072,0.016107423920559392,0.1439521766062976,0.1094149322822416,0.5329855783982816,042
2014,28645,0.01727365656792364,0.14860259146750357,0.1112970518912627,0.5401640775004364,042
2015,31399,0.0080171085121772,0.14783700416533202,0.1086118064491838,0.5229147425077232,042
2016,32509,0.008400363308349514,0.14654783792935774,0.10444594926730313,0.5076440370358978,042
2017,35514,0.015961320209253744,0.14966640927912916,0.1041412968670977,0.5103057948977868,042
2018,38373,0.019681762639461056,0.14160487822811252,0.10113275861327409,0.5183853230135772,042
2019,39697,0.01678816770575747,0.12278815657997251,0.09257510252823065,0.5370934831347457,042
2020,44454,0.014179023486847544,0.11857935691155788,0.08722760777765143,0.5191883744994826,042
2021,50476,0.00818368960558922,0.1448298509827856,0.09547410723011808,0.4382082573896505,042
2022,50267,0.020360840475404318,0.11583404365187674,0.07981343447778279,0.5250760936598564,042
