cpc_class,decade,total_inventors,n_distinct_surnames,hhi,top5_share
B28,1980,1193,1060,0.0012401203162622986,0.030176026823134954
B28,1990,1566,1279,0.0012746925813381055,0.0351213282247765
B28,2000,1690,1408,0.0010951997479079867,0.03609467455621302
B28,2010,2127,1735,0.0009126618626480376,0.029619181946403384
B28,2020,1576,1264,0.001750560437012037,0.06218274111675127
B29,1980,10450,7394,0.0006033744648703093,0.030430622009569377
B29,1990,16953,10622,0.0004545758061601663,0.024361469946322184
B29,2000,17515,10993,0.0003981449284243861,0.0239223522694833
B29,2010,27132,15697,0.0005496087957751132,0.03435058233819844
B29,2020,22561,13242,0.0006626598183534529,0.03829617481494615
B30,1980,1570,1393,0.001071848756541849,0.030573248407643312
B30,1990,1754,1486,0.0009634274614531504,0.02508551881413911
B30,2000,1143,1004,0.0012606691880050424,0.028871391076115485
B30,2010,1101,978,0.0012877402344990655,0.03178928247048138
B30,2020,646,575,0.002132676437040518,0.04179566563467492
B31,1980,731,665,0.0019630923663964996,0.04240766073871409
B31,1990,959,843,0.0016081663098400432,0.03753910323253389
B31,2000,1035,919,0.0013283857266213916,0.02705314009661836
B31,2010,1259,1113,0.0011198165898146538,0.027005559968228753
B31,2020,898,800,0.0015128893209855109,0.030066815144766147
B32,1980,5775,4290,0.0008043927212758371,0.03359307359307359
B32,1990,10144,6744,0.0005941065377802545,0.027996845425867507
B32,2000,11814,7661,0.00046908161085734706,0.024208566108007448
B32,2010,15494,8968,0.00098298772249251,0.04834129340389828
B32,2020,11727,6624,0.001621065301962269,0.06600153491941672
B41,1980,8658,5792,0.0006138128106250075,0.030492030492030493
B41,1990,14322,8190,0.0005709252165189569,0.027510124284317834
B41,2000,18244,9790,0.0005365644234713333,0.024775268581451435
B41,2010,19031,9867,0.0006469426036041889,0.030213861594240974
B41,2020,9634,5626,0.000752731625834372,0.03186630682997717
B42,1980,1571,1364,0.001314807979283977,0.03882877148313176
B42,1990,2803,2262,0.0008966744641495049,0.03460577952194078
B42,2000,2555,2050,0.0008420617261729238,0.03091976516634051
B42,2010,2735,2198,0.00067818815610493,0.020475319926873858
B42,2020,1144,1012,0.0012729840089979953,0.030594405594405596
B43,1980,1069,942,0.001385241533444001,0.03367633302151544
B43,1990,1379,1151,0.0012909902552584885,0.03625815808556925
B43,2000,1625,1302,0.0013159763313609467,0.04123076923076923
B43,2010,1180,1006,0.001378914105142199,0.03728813559322034
B43,2020,543,477,0.0025267170653453085,0.04419889502762431
B44,1980,1032,912,0.001866624601886906,0.044573643410852716
B44,1990,1472,1258,0.0013623877599243863,0.03940217391304348
B44,2000,1828,1507,0.0010276563450148197,0.03172866520787746
B44,2010,1452,1195,0.0013774104683195593,0.04338842975206612
B44,2020,632,574,0.002153100464669126,0.04430379746835443
B60,1980,18618,11522,0.00048156257853837226,0.02637232785476421
B60,1990,34229,18539,0.0004457631487733704,0.02544625902012913
B60,2000,49832,25489,0.0003333354510068584,0.022435382886498635
B60,2010,80187,36173,0.0005572553800570792,0.0360033421876364
B60,2020,69791,31633,0.0008935968593674853,0.04726970526285624
B61,1980,1638,1443,0.001120369252237384,0.03540903540903541
B61,1990,2000,1724,0.0009679999999999997,0.032
B61,2000,2183,1867,0.000845873319611062,0.02885936784241869
B61,2010,4091,3147,0.0007990425112962676,0.037643607919824004
B61,2020,3450,2395,0.00230203738710355,0.08695652173913043
B62,1980,6513,4650,0.0006454393295634811,0.029633041609089514
B62,1990,9443,6243,0.0006351333615766838,0.030604680715874192
B62,2000,14717,9118,0.00046809621099513926,0.025276890670652988
B62,2010,23669,13298,0.000536582346926129,0.03210951032996747
B62,2020,16125,9549,0.0007994711856258632,0.04062015503875969
B63,1980,4214,3314,0.0009928033861859897,0.03962980541053631
B63,1990,5452,3990,0.0009789968505233967,0.04200293470286134
B63,2000,6096,4537,0.0005944907723148779,0.030675853018372702
B63,2010,7949,5598,0.0006957329450273801,0.040885645993206696
B63,2020,5372,3735,0.0011582076113478843,0.05156366344005957
B64,1980,3276,2628,0.001001474444697887,0.039987789987789985
B64,1990,4824,3795,0.000893215651977812,0.03855721393034826
B64,2000,6473,4977,0.000604610115736071,0.0325969411401205
