year,n_matched,w_white,w_black,w_api,w_aian,w_2prace,w_hispanic,share_white,share_black,share_api,share_aian,share_2prace,share_hispanic
1923,48,37.498,4.8591999999999995,0.3622,0.2464,0.6861,4.131,0.7812083333333333,0.10123333333333333,0.007545833333333334,0.0051333333333333335,0.014293750000000001,0.0860625
1924,42,31.7212,6.8792,0.4283,0.4236,0.7945,1.6406,0.7552666666666666,0.16379047619047618,0.010197619047619047,0.010085714285714285,0.018916666666666665,0.03906190476190476
1925,49,38.9869,5.793,1.2862,0.2744,0.8853000000000001,1.5541,0.7956510204081633,0.11822448979591837,0.026248979591836735,0.0056,0.018067346938775514,0.031716326530612245
1926,19,13.4273,4.3425,0.09540000000000001,0.1291,0.4133,0.559,0.7067,0.22855263157894737,0.005021052631578948,0.006794736842105263,0.021752631578947367,0.02942105263157895
1927,16,11.1186,1.5632,2.0178000000000003,0.0583,0.3054,0.8328,0.6949125,0.0977,0.12611250000000002,0.00364375,0.0190875,0.05205
1928,35,24.7362,4.2937,1.9572000000000003,0.2024,0.6591,3.0156,0.7067485714285714,0.12267714285714286,0.055920000000000004,0.0057828571428571425,0.018831428571428572,0.08616
1929,45,32.5412,6.0520000000000005,2.1098000000000003,0.1981,0.8263,2.9858000000000002,0.7231377777777779,0.1344888888888889,0.04688444444444445,0.004402222222222222,0.018362222222222224,0.06635111111111111
1930,36,28.773600000000002,3.4452,1.7314000000000003,0.1723,0.6843,1.0446,0.7992666666666667,0.0957,0.048094444444444454,0.004786111111111112,0.019008333333333335,0.029016666666666666
1931,34,27.2809,3.1955999999999998,1.442,0.1426,0.4926,1.3006,0.8023794117647058,0.09398823529411764,0.04241176470588235,0.004194117647058824,0.014488235294117647,0.03825294117647059
1932,29,22.1101,3.8841,0.3476,0.48019999999999996,0.4305,1.562,0.7624172413793103,0.1339344827586207,0.011986206896551724,0.01655862068965517,0.014844827586206897,0.05386206896551724
1933,51,41.7521,4.8151,0.2867,0.24830000000000002,0.8395,2.811,0.8186686274509803,0.09441372549019608,0.0056215686274509805,0.004868627450980392,0.01646078431372549,0.05511764705882353
1934,42,31.570700000000002,3.735,2.4485,0.2985,0.6392,3.0162,0.7516833333333334,0.08892857142857143,0.05829761904761905,0.007107142857142857,0.015219047619047618,0.07181428571428572
1935,42,30.0907,5.269,4.0937,0.2245,0.9359000000000001,1.2054,0.7164452380952381,0.12545238095238095,0.09746904761904762,0.005345238095238096,0.022283333333333336,0.0287
1936,23,16.9982,3.3271,0.2566,0.1106,0.3725,1.8378,0.7390521739130435,0.14465652173913043,0.011156521739130435,0.004808695652173913,0.016195652173913045,0.07990434782608696
1937,10,7.569500000000001,0.8932,0.8064,0.0814,0.252,0.3827,0.75695,0.08932,0.08064,0.00814,0.0252,0.03827
1938,12,9.5531,1.4391,0.1262,0.048799999999999996,0.15660000000000002,0.5851,0.7960916666666668,0.119925,0.010516666666666667,0.004066666666666666,0.01305,0.04875833333333333
1939,12,8.8458,1.5210000000000001,0.9793999999999999,0.057499999999999996,0.3251,0.2533,0.7371500000000001,0.12675,0.08161666666666666,0.004791666666666666,0.027091666666666667,0.021108333333333337
1940,12,8.1205,1.6717000000000002,1.2897,0.0411,0.2939,0.5203,0.6767083333333334,0.13930833333333334,0.107475,0.0034249999999999997,0.024491666666666665,0.04335833333333333
1941,44,32.0015,6.6314,1.6497000000000002,0.2614,0.8111,2.4162,0.7273068181818182,0.15071363636363636,0.03749318181818182,0.005940909090909091,0.01843409090909091,0.05491363636363636
1942,60,48.8743,6.6567,0.299,0.3422,1.0048000000000001,2.4694000000000003,0.8145716666666666,0.110945,0.0049833333333333335,0.005703333333333334,0.01674666666666667,0.04115666666666667
1943,55,46.0812,4.9701,1.1734000000000002,0.3386,0.9275,1.3291,0.83784,0.09036545454545455,0.02133454545454546,0.006156363636363637,0.016863636363636362,0.024165454545454546
1944,75,57.6706,8.3154,1.4077,0.9279000000000001,1.2757,5.2431,0.7689413333333334,0.110872,0.018769333333333332,0.012372000000000001,0.017009333333333335,0.069908
1945,91,73.7028,11.2262,0.787,0.4688,1.4428,2.9791000000000003,0.8099208791208791,0.12336483516483517,0.008648351648351649,0.005151648351648352,0.015854945054945054,0.03273736263736264
1946,131,104.4636,14.7124,3.5401000000000002,0.7434,2.3736,4.6473,0.7974320610687022,0.11230839694656489,0.027023664122137407,0.005674809160305343,0.01811908396946565,0.035475572519083974
1947,205,154.6644,25.1313,10.965800000000002,1.0707,4.1151,8.2695,0.7544604878048781,0.12259170731707317,0.05349170731707318,0.005222926829268292,0.020073658536585364,0.04033902439024391
1948,180,133.6502,24.8747,6.4671,1.2436,3.4871,9.6427,0.7425011111111112,0.13819277777777778,0.03592833333333333,0.006908888888888889,0.019372777777777777,0.05357055555555555
1949,172,132.8796,21.5598,6.569400000000001,1.0507,3.3433,5.7834,0.7725558139534884,0.12534767441860464,0.03819418604651163,0.006108720930232558,0.019437790697674418,0.033624418604651166
1950,143,108.42880000000001,16.8247,8.299,0.6891,2.678,5.308,0.7582433566433567,0.11765524475524476,0.05803496503496503,0.004818881118881119,0.018727272727272728,0.03711888111888112
1951,124,95.9597,15.0092,2.8977000000000004,1.3203,2.2289,5.8006,0.7738685483870967,0.12104193548387096,0.023368548387096778,0.010647580645161291,0.017974999999999998,0.04677903225806452
1952,151,117.9603,16.5923,6.391900000000001,0.7281,2.7043,5.722700000000001,0.7811940397350994,0.10988278145695365,0.042330463576158946,0.0048218543046357615,0.017909271523178807,0.037898675496688745
1953,145,113.3852,16.1517,5.8668000000000005,0.6912,2.7404,5.6028,0.7819668965517241,0.11139103448275864,0.04046068965517242,0.004766896551724138,0.018899310344827586,0.03864
1954,186,145.5674,21.2211,6.7684,1.0077,3.3029,7.3468,0.7826204301075268,0.11409193548387096,0.03638924731182796,0.005417741935483871,0.017757526881720432,0.03949892473118279
1955,147,113.8131,15.625,6.1442,0.7843,2.6786000000000003,7.0946,0.7742387755102041,0.10629251700680271,0.04179727891156462,0.005335374149659864,0.018221768707482995,0.0482625850340136
1956,98,75.3921,11.1073,1.6248000000000002,1.9327000000000003,1.6717,5.8614,0.7693071428571429,0.11333979591836735,0.016579591836734697,0.019721428571428574,0.017058163265306122,0.05981020408163265
1957,80,61.7154,9.7253,2.6957,0.45840000000000003,1.3342,3.6908,0.7714425,0.12156625000000001,0.03369625,0.005730000000000001,0.0166775,0.046134999999999995
1958,69,54.6479,8.4632,1.7924000000000002,0.3658,1.2595,2.1201,0.7919985507246377,0.12265507246376813,0.0259768115942029,0.005301449275362319,0.018253623188405798,0.030726086956521736
1959,83,64.85640000000001,9.5789,2.9778000000000002,0.4497,1.5754000000000001,3.1275,0.7814024096385543,0.11540843373493977,0.03587710843373494,0.005418072289156626,0.018980722891566267,0.037680722891566265
1960,187,149.7434,20.4244,3.0924000000000005,1.0685,3.4087,8.4404,0.8007668449197861,0.10922139037433154,0.01653689839572193,0.005713903743315508,0.018228342245989307,0.045135828877005346
1961,413,324.6542,41.1739,14.026800000000001,2.4501,7.1121,21.296,0.7860876513317191,0.09969467312348669,0.03396319612590799,0.0059324455205811135,0.017220581113801453,0.05156416464891041
1962,451,361.3658,47.5845,10.5448,2.9977,7.5662,18.7482,0.8012545454545454,0.10550886917960088,0.023380931263858096,0.006646784922394678,0.016776496674057652,0.04157028824833703
1963,315,249.1236,34.257600000000004,10.2949,2.1123,5.6597,12.2731,0.7908685714285715,0.10875428571428572,0.032682222222222224,0.006705714285714285,0.017967301587301587,0.03896222222222222
1964,292,224.7851,37.5693,7.3882,1.9732,5.2148,13.764100000000001,0.7698119863013698,0.12866198630136985,0.025302054794520547,0.0067575342465753425,0.01785890410958904,0.04713732876712329
1965,297,224.3547,36.804700000000004,9.6974,2.6923,5.2949,16.8603,0.7554030303030304,0.12392154882154884,0.03265117845117845,0.009064983164983165,0.01782794612794613,0.056768686868686864
1966,340,263.2952,37.6921,10.0573,1.9315,6.2568,19.3703,0.7743976470588236,0.11085911764705883,0.02958029411764706,0.005680882352941176,0.01840235294117647,0.0569714705882353
1967,401,303.86490000000003,44.5034,17.4637,2.3757,7.5157,23.543400000000002,0.7577678304239402,0.11098104738154613,0.0435503740648379,0.005924438902743142,0.018742394014962593,0.058711720698254366
1968,464,362.5958,54.5414,12.2841,3.1507,8.232,21.5679,0.7814564655172413,0.11754612068965518,0.026474353448275863,0.006790301724137931,0.017741379310344828,0.04648254310344828
1969,457,354.6262,50.6216,12.1006,2.5698,8.1795,27.0106,0.7759873085339168,0.11076936542669584,0.026478336980306345,0.005623194748358862,0.01789824945295405,0.059104157549234135
1970,466,368.9315,48.899100000000004,14.585,2.5695,8.326600000000001,20.442700000000002,0.7916984978540773,0.10493369098712448,0.031298283261802576,0.005513948497854078,0.017868240343347642,0.043868454935622324
1971,413,324.5448,41.7917,12.3989,2.5548,7.2780000000000005,22.4086,0.785822760290557,0.10119055690072638,0.03002154963680387,0.0061859564164648915,0.01762227602905569,0.05425811138014528
1972,409,310.9198,46.5469,14.7919,3.2178,7.5903,24.4586,0.76019511002445,0.11380660146699267,0.03616601466992665,0.007867481662591687,0.018558190709046456,0.05980097799511003
1973,428,336.3435,46.108200000000004,11.9956,2.7818,7.7503,20.8946,0.7858492990654206,0.10772943925233645,0.028027102803738317,0.006499532710280374,0.018108177570093458,0.04881915887850467
1974,444,342.6327,46.2915,16.1554,2.9392,8.1236,25.8905,0.7716952702702703,0.10426013513513513,0.03638603603603604,0.0066198198198198195,0.018296396396396394,0.05831193693693693
1975,702,539.6793,81.5303,28.0195,4.3682,13.000300000000001,31.7306,0.7687739316239316,0.11614002849002848,0.039913817663817665,0.006222507122507122,0.018518945868945872,0.045200284900284896
1976,1022,792.7599,110.4662,37.248000000000005,5.7567,18.2802,52.230000000000004,0.7756946183953033,0.10808825831702544,0.03644618395303327,0.005632778864970646,0.0178866927592955,0.05110567514677104
1977,1379,1059.7405,157.4402,50.4713,10.8259,25.3182,69.4261,0.7684847715736042,0.11416983321247282,0.036599927483683826,0.007850543872371284,0.01835982596084119,0.050345250181290796
1978,1370,1061.7301,159.4013,42.7727,7.9831,24.215600000000002,67.8507,0.7749854744525547,0.11635131386861314,0.03122094890510949,0.0058270802919708035,0.017675620437956206,0.049526058394160584
1979,522,392.3634,66.1894,22.5606,3.9301,9.8245,24.1456,0.7516540229885058,0.12679961685823757,0.043219540229885056,0.007528927203065134,0.018820881226053642,0.04625593869731801
1980,754,560.0287,89.24810000000001,35.7628,6.1964,14.4506,44.6382,0.7427436339522546,0.1183661803713528,0.04743076923076923,0.008218037135278515,0.01916525198938992,0.059201856763925725
1981,1505,1137.165,186.8762,56.0977,11.3369,27.604200000000002,78.643,0.7555913621262458,0.12417023255813954,0.037274219269102994,0.00753282392026578,0.01834166112956811,0.05225448504983389
1982,2166,1652.8645000000001,250.5594,78.63380000000001,13.1679,38.1721,122.9679,0.7630953370267776,0.11567839335180057,0.03630369344413666,0.006079362880886427,0.01762331486611265,0.056771883656509696
1983,1574,1194.2903000000001,176.5152,69.7848,9.5853,27.186,89.2015,0.7587613087674715,0.1121443456162643,0.04433595933926303,0.006089771283354511,0.01727191867852605,0.05667185514612452
1984,2564,1960.2554,285.4781,112.9611,16.18,46.0707,131.8134,0.7645301872074883,0.11134091263650546,0.044056591263650545,0.006310452418096724,0.017968291731669268,0.05140928237129485
1985,3609,2738.9895,397.0486,149.1815,21.4802,63.636700000000005,222.1105,0.7589330839567747,0.11001623718481575,0.04133596564145193,0.005951842615683015,0.017632779163203105,0.06154350235522305
1986,3635,2790.0578,391.778,150.45430000000002,22.3046,64.4025,200.29500000000002,0.767553727647868,0.10777936726272352,0.04139045392022009,0.006136066024759285,0.017717331499312244,0.055101788170563964
1987,3972,3044.8907,436.9312,161.2339,24.5283,69.6604,217.8194,0.7665887965760322,0.11000281973816717,0.040592623363544814,0.0061753021148036255,0.01753786505538771,0.05483872104733132
1988,4297,3255.6414,472.31940000000003,193.6294,26.2243,74.6451,257.22700000000003,0.7576545031417268,0.1099184081917617,0.04506153130090761,0.006102932278333721,0.01737144519432162,0.05986199674191297
1989,5104,3910.0316000000003,548.9359000000001,221.57760000000002,29.7388,89.1894,282.2201,0.7660720219435737,0.10755013714733544,0.043412539184952983,0.005826567398119122,0.01747441222570533,0.05529390673981191
1990,8742,6651.5383,966.7227,386.2837,52.2462,154.0744,494.918,0.7608714596202242,0.11058369938229239,0.04418710821322352,0.005976458476321208,0.017624616792495995,0.05661381834820407
1991,8554,6485.2286,922.976,399.2533,50.1533,150.45600000000002,512.7999,0.758151578209025,0.10789992985737666,0.04667445639466916,0.0058631400514379236,0.0175889642272621,0.05994855038578443
1992,7801,5905.2758,855.9306,358.0641,49.8953,138.7566,462.52000000000004,0.756989591078067,0.10972062556082554,0.045899769260351234,0.006396013331624151,0.01778702730419177,0.059289834636585055
1993,9765,7388.3725,1076.6514,449.2939,57.8786,173.6823,580.6363,0.7566177675371224,0.11025615975422427,0.04601064004096262,0.005927147977470558,0.01778620583717358,0.059460962621607785
1994,9615,7208.7213,1064.155,481.8859,59.129,168.4141,592.3988,0.7497370046801872,0.11067654706188247,0.050118138325533024,0.006149661986479459,0.017515767030681226,0.06161193967758711
1995,10949,8268.1838,1168.3696,523.665,66.1681,193.07,685.4946,0.7551542423965659,0.10671016531190063,0.047827655493652386,0.006043300758060096,0.017633573842360032,0.06260796419764363
1996,12260,9132.7858,1354.5021,665.2330000000001,76.8004,220.82580000000002,761.2168,0.7449254323001631,0.11048141109298532,0.05426044045676999,0.006264306688417618,0.01801189233278956,0.0620894616639478
1997,12866,9483.2808,1439.4698,708.3393,79.5801,227.6463,876.1309,0.7370807399347117,0.11188168817037153,0.055055129799471476,0.00618530234727188,0.017693634385201305,0.06809660345095601
1998,14050,10388.9998,1540.4892,819.256,85.9853,252.5961,906.7136,0.739430590747331,0.10964335943060498,0.05831003558718861,0.006119950177935943,0.017978370106761565,0.06453477580071175
1999,23578,17295.6024,2660.6796,1372.188,144.23,423.9027,1589.9391,0.733548324709475,0.11284585630672661,0.05819781151921283,0.006117143099499533,0.01797873865467809,0.06743316226991264
2000,24013,17336.1515,2724.0867,1552.7107,145.0453,430.682,1731.1766,0.7219485903468954,0.11344216466080873,0.06466125432057636,0.006040282347062008,0.017935368342148005,0.07209330779161288
2001,18357,13200.642600000001,2149.0387,1153.6363000000001,114.93260000000001,331.03700000000003,1339.3716,0.7191067494688675,0.11706916707523016,0.06284448984038787,0.006260968567848777,0.018033284305714443,0.07296244484392875
2002,21420,15272.6923,2455.0959000000003,1439.1313,128.3279,384.17470000000003,1660.0743,0.7130108450046686,0.11461698879551822,0.06718633520074696,0.005991031746031746,0.01793532679738562,0.07750113445378151
2003,24215,17240.4713,2801.4201000000003,1616.2714,149.7267,435.2216,1881.4553,0.7119748626884164,0.11568945281850095,0.06674670245715467,0.006183221143919058,0.017973223208754906,0.07769792690481107
2004,26840,19047.0373,3074.2781,1781.4277,161.8614,484.7465,2189.9275000000002,0.7096511661698957,0.1145409128166915,0.06637211997019374,0.006030603576751118,0.018060599850968705,0.08159193368107304
2005,28656,20138.8384,3305.2047000000002,1980.9961,173.16060000000002,513.6694,2435.4898,0.7027791178112787,0.11534075586264657,0.06913023799553322,0.006042734505862647,0.01792536990508096,0.08499057091010608
2006,30542,21167.0451,3540.8128,2302.1649,187.8263,553.9611,2673.8352,0.6930471187217602,0.11593257808918866,0.07537701853185777,0.006149770807412743,0.018137682535524852,0.0875461724837928
2007,34370,23777.3285,4009.4900000000002,2506.1344,212.8586,617.6800000000001,3117.8319,0.6918047279604306,0.11665667733488508,0.07291633401221996,0.0061931510037823686,0.017971486761710797,0.0907137590922316
2008,32630,22661.1306,3786.2953,2250.9825,199.7028,589.4087000000001,3017.9027,0.6944876064970886,0.11603724486668711,0.06898505976095617,0.006120220655838186,0.018063398712840947,0.09248859025436715
2009,31034,21468.6173,3581.538,2210.3935,189.95340000000002,560.8474,2903.1931,0.6917773184249534,0.11540690855191081,0.07122489849842109,0.006120815879358124,0.01807203067603274,0.09354878842559773
