token,year,n,n_pass5,pass5
featuring,1998,10094,4597,0.45541906082821476
featuring,1999,18280,9782,0.5351203501094092
featuring,2000,21808,11534,0.5288884812912693
featuring,2001,12940,5589,0.43191653786707884
featuring,2002,11989,4796,0.40003336391692385
featuring,2003,12164,4899,0.4027458073002302
featuring,2004,15032,5859,0.38976849387972323
featuring,2005,18474,7537,0.40797878098949875
featuring,2006,23644,10314,0.43622060565048215
featuring,2007,29193,12693,0.4347960127427808
featuring,2008,28024,11851,0.4228875249785898
featuring,2009,25696,10109,0.3934075342465753
featuring,2010,28311,10216,0.3608491399102822
featuring,2011,34113,12067,0.3537361123325418
featuring,2012,36000,12054,0.3348333333333333
featuring,2013,38745,13030,0.33630145825267777
featuring,2014,42877,14702,0.34288779532150104
featuring,2015,49112,16867,0.34343948525818535
featuring,2016,49256,17251,0.35023144388500893
featuring,2017,54059,18596,0.34399452450100815
featuring,2018,59231,21375,0.36087521736928296
featuring,2019,60495,22271,0.3681461277791553
featuring,2020,75091,28521,0.3798191527613163
featuring,2021,84656,34031,0.4019915894915895
featuring,2022,81339,33227,0.40850022744316994
featuring,2023,76181,29346,0.38521416101127576
featuring,2024,74750,36677,0.49066220735785954
featuring,2025,89251,76561,0.8578167191404018
featuring,2026,25608,25603,0.9998047485160887
information,1906,1,0,0.0
information,1929,1,0,0.0
information,1933,2,0,0.0
information,1934,1,0,0.0
information,1939,3,0,0.0
information,1940,1,0,0.0
information,1941,1,0,0.0
information,1942,1,0,0.0
information,1945,1,0,0.0
information,1946,2,0,0.0
information,1947,1,0,0.0
information,1948,9,0,0.0
information,1949,3,0,0.0
information,1950,8,0,0.0
information,1951,5,0,0.0
information,1952,4,0,0.0
information,1953,12,0,0.0
information,1954,13,0,0.0
information,1955,17,0,0.0
information,1956,5,0,0.0
information,1957,13,0,0.0
information,1958,18,0,0.0
information,1959,9,0,0.0
information,1960,18,0,0.0
information,1961,11,0,0.0
information,1962,25,0,0.0
information,1963,24,0,0.0
information,1964,30,0,0.0
information,1965,43,0,0.0
information,1966,30,0,0.0
information,1967,151,0,0.0
information,1968,44,0,0.0
information,1969,69,1,0.014492753623188406
information,1970,68,0,0.0
information,1971,53,0,0.0
information,1972,68,0,0.0
information,1973,81,0,0.0
information,1974,78,0,0.0
information,1975,123,1,0.008130081300813009
information,1976,153,0,0.0
information,1977,168,0,0.0
information,1978,247,4,0.016194331983805668
information,1979,321,10,0.03115264797507788
information,1980,270,40,0.14814814814814814
information,1981,386,98,0.2538860103626943
information,1982,532,143,0.26879699248120303
information,1983,394,124,0.3147208121827411
information,1984,502,138,0.2749003984063745
information,1985,565,157,0.2778761061946903
information,1986,533,145,0.27204502814258913
information,1987,649,158,0.24345146379044685
information,1988,653,154,0.23583460949464014
information,1989,1069,294,0.27502338634237605
information,1990,2054,946,0.4605647517039922
information,1991,1868,749,0.4009635974304068
information,1992,1898,765,0.40305584826132773
information,1993,2518,1122,0.4455917394757744
information,1994,3483,1649,0.4734424346827448
information,1995,5512,2444,0.44339622641509435
information,1996,8220,3804,0.46277372262773725
information,1997,9044,4433,0.49015922158337016
information,1998,11337,5824,0.5137161506571404
information,1999,26401,16689,0.6321351463959699
information,2000,38286,25257,0.6596928381131484
information,2001,17005,8488,0.4991473096148192
information,2002,12036,5260,0.43702226653373216
information,2003,11469,4749,0.41407271776092075
