axis,bin,n,rate,dkl_mid,lo,hi,prospective_kl_mid,retrospective_kl_mid
Prospective KL,18,503116,0.4197342163636219,,0.41837112226539697,0.4210985362097063,6.978275706141764,
Prospective KL,19,503117,0.44193298974194867,,0.4405611575628537,0.44330570866716174,7.917310366985134,
Retrospective KL,0,503117,0.36591687420619856,,0.36458687867429324,0.36724891733261184,,2.640570474838209
Retrospective KL,1,503116,0.3807630844576599,,0.37942223043162526,0.3821057593641166,,3.2070062822322982
Retrospective KL,2,503116,0.3753110614649504,,0.3739740383795516,0.376649988689231,,3.510952626566249
Retrospective KL,3,503116,0.3844997972634542,,0.3831564212636858,0.3858449370798808,,3.756121251053354
Retrospective KL,4,503116,0.3848496171856987,,0.3835060093822651,0.386194983463651,,3.972956801897893
Retrospective KL,5,503116,0.3867338744941524,,0.3853890307253426,0.3880804479627744,,4.172651688333791
Retrospective KL,6,503116,0.3873321460657184,,0.3859869143090879,0.3886790983858884,,4.357072162489785
Retrospective KL,7,503116,0.3884909245581536,,0.3871449473986247,0.38983860458538444,,4.530961004027651
Retrospective KL,8,503116,0.3871651865573744,,0.385820062861174,0.38851203336677176,,4.699921975167328
Retrospective KL,9,503117,0.3858645205787123,,0.3845202457495975,0.3872105383801769,,4.865335114666106
Retrospective KL,10,503116,0.3861256648566136,,0.3847812177149813,0.38747185098609627,,5.031925451086397
Retrospective KL,11,503116,0.3867597134656819,,0.3854148528957044,0.38810630334088175,,5.2021436902311065
Retrospective KL,12,503116,0.3876521517900444,,0.3863067133831628,0.38899930587362186,,5.377500450258351
Retrospective KL,13,503116,0.3874573656969764,,0.3861120530043419,0.3888043970409072,,5.563593481742413
Retrospective KL,14,503116,0.3899339317374124,,0.3885870375381501,0.39128250676805093,,5.764430302117414
Retrospective KL,15,503116,0.3923250304104819,,0.39097664393390286,0.3936750612036988,,5.987091533886457
Retrospective KL,16,503123,0.39932779857013095,,0.39797524588763705,0.40068188860780857,,6.245006485257253
Retrospective KL,17,503109,0.4065202570417146,,0.4051636969901055,0.40787824465291217,,6.563002584874195
Retrospective KL,18,503119,0.41705441456196246,,0.41569256997937226,0.41841752580841557,,7.000931695493915
Retrospective KL,19,503114,0.4395723434450244,,0.4382013036319077,0.4409443060593865,,7.95508819367524
