cls,name,year,n,beta_lin,beta_quad,z_lin,z_quad
003,Cosmetics & Cleaning,2014,11864,-0.03141165129442617,-0.011535495897130493,-1.6284185598597218,-1.6553459555758965
003,Cosmetics & Cleaning,2015,13155,-0.04100759543402558,0.0008753749356025486,-2.1872625087987223,0.15124565870150247
003,Cosmetics & Cleaning,2016,13849,-0.0574273436019766,-0.002772626027812975,-3.227036077023578,-0.4027225342540252
003,Cosmetics & Cleaning,2017,16644,-0.03435853452355732,0.007524376602129958,-2.0555516701171435,1.915709269269306
003,Cosmetics & Cleaning,2018,19447,0.1212856393873156,-0.01825877125886142,5.56325786869475,-4.508454839719097
003,Cosmetics & Cleaning,2019,22434,0.02783032139007804,0.008353696789634211,1.8890626775977533,1.7534622204413677
003,Cosmetics & Cleaning,2020,30282,-0.12046623322977498,0.028947281983727036,-10.025626505223164,6.085798499772105
003,Cosmetics & Cleaning,2021,26104,-0.10003741724852838,0.028874102204535537,-7.799119465471457,6.91770432453612
004,Lubricants & Fuels,1993,533,-0.01750971944896092,0.020800066644827066,-0.1878647670201391,0.3590018768076587
004,Lubricants & Fuels,1994,569,-0.09598291345527209,0.059213269233738756,-1.0405026426037987,1.0113585610868834
004,Lubricants & Fuels,1995,636,-0.14346801158117897,-0.016858576128354882,-1.6282558321367182,-0.2818946061514668
004,Lubricants & Fuels,1996,730,0.12643678218706814,0.12401792903693355,1.5255860413432816,2.1113929244396488
004,Lubricants & Fuels,1997,734,-0.08662786153117115,-0.009041387758091251,-1.0207138354195782,-0.17527618608386783
004,Lubricants & Fuels,1998,659,0.1434085513101478,0.03879142479605933,1.5709090057357074,0.6603941643171873
004,Lubricants & Fuels,1999,671,0.0529483125767193,0.06046319656208822,0.5816688262465374,1.0975734746728882
004,Lubricants & Fuels,2000,706,-0.016765893029373924,-0.001983700652605325,-0.21550462916719065,-0.04108942941491622
004,Lubricants & Fuels,2001,640,0.12522329481867756,-0.005102137265539191,1.5215823284047212,-0.09980345478282883
004,Lubricants & Fuels,2002,675,0.12599537336357142,-0.060744198831671745,1.5551316301337548,-1.5788300852582402
004,Lubricants & Fuels,2003,683,0.05804798117181051,0.04009103359050796,0.7311859117100594,0.7992253244480373
004,Lubricants & Fuels,2004,818,-0.2367755062749154,0.00935968958937355,-2.9382110934508168,0.2713228572497878
004,Lubricants & Fuels,2005,942,-0.025490012012958765,0.045224353913142244,-0.351524254254723,1.1885232228828606
004,Lubricants & Fuels,2006,1079,-0.19038537705813838,-0.024219636381623715,-2.921749108834802,-0.6437041081618601
004,Lubricants & Fuels,2007,1158,-0.3308724637833241,0.0378928672622465,-4.672078959047365,1.2745741700462163
004,Lubricants & Fuels,2008,1212,-0.11585413280174339,0.002986407171951093,-1.925757942052834,0.11404059428115478
004,Lubricants & Fuels,2009,1087,-0.3956923450607767,0.05941141769890939,-4.659479139899811,2.8546142161871795
004,Lubricants & Fuels,2010,1175,-0.351448873976836,0.12464564773714329,-5.187952465521754,3.534234959743345
004,Lubricants & Fuels,2011,1323,-0.22626869525337912,-0.021770276264209635,-3.911473750652013,-0.6177253113608171
004,Lubricants & Fuels,2012,1250,-0.20434344282187858,0.012343578400808365,-3.283416608854504,0.4257017921791352
004,Lubricants & Fuels,2013,1257,-0.2528409599222545,0.010867136689153992,-3.136844669052118,0.464838051616117
004,Lubricants & Fuels,2014,1454,-0.1413510908307465,0.05260901289967074,-2.2803381176850968,1.3677518477984723
004,Lubricants & Fuels,2015,1491,0.04626415852381759,0.03070080214416087,0.7591129912520912,0.977120578847681
004,Lubricants & Fuels,2016,1581,0.0033293177190315314,-0.011868182240750477,0.056482725762466685,-0.46395825922984796
004,Lubricants & Fuels,2017,1766,0.11420126505930027,-0.0046549131032607854,1.961948674819637,-0.28453103414221964
004,Lubricants & Fuels,2018,1801,0.08203917030224553,-0.04918126485655658,1.326008550606588,-1.8089366170097532
004,Lubricants & Fuels,2019,1983,0.08400207585989074,-0.06891824250087701,1.4319615157277523,-1.945014185487196
004,Lubricants & Fuels,2020,2756,0.030848353445620813,-0.013821225481732207,0.7065724852942822,-0.48418022342583267
004,Lubricants & Fuels,2021,3336,0.10036799650188459,0.018803868292125544,2.7277350188321505,1.7296620201421151
005,Pharmaceuticals,1990,3463,0.04236333776479362,-0.014080322634633956,0.9772243373478762,-0.8849809316062713
005,Pharmaceuticals,1991,3732,-0.04114988841518247,-0.039468487885998896,-1.2484261161197867,-1.8782269664736175
005,Pharmaceuticals,1992,4340,-0.023747932047525972,-0.019850062484624738,-0.7767824140387941,-1.0238122096405295
005,Pharmaceuticals,1993,4747,-0.09385976555073593,0.0048743143971093405,-3.1909896142942165,0.25266020919912263
005,Pharmaceuticals,1994,4913,-0.013755761877479579,0.03835837902523226,-0.46665847707598346,2.072197567391758
005,Pharmaceuticals,1995,5966,-0.029140035904525092,0.010412438749946006,-1.0524471166124436,0.6317713508505091
005,Pharmaceuticals,1996,7280,-0.02686302767941594,0.04070456550285908,-1.0523554725671969,3.0232313080170496
005,Pharmaceuticals,1997,8132,0.07508310182378415,0.039036993559682036,3.0156517726175225,2.9669476434711726
005,Pharmaceuticals,1998,6153,0.1460325475335464,0.01449951341437184,4.97375915254396,0.8011349653567206
005,Pharmaceuticals,1999,6420,0.1529830770791091,0.011120441946901271,5.224439988084324,0.6285566976350835
005,Pharmaceuticals,2000,6984,0.05057101550604329,0.050437222669598006,1.8146953097928924,2.8646286934824814
