theme,first_year,origin_klass,origin_industry,origin_5y,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,other_hhi,other_total,total_study_cnt
webcams,1999,42,Scientific & Tech Services,21,47,14,13,33,11,28,59,18,61,118,0.555997424828808,7957,8288
video-receivers,1997,38,Telecommunications,6,32,42,0,0,2,0,0,3,4,12,0.4320796485555186,7961,8265
subscription-based,1997,38,Telecommunications,16,3,4,19,40,38,4,23,40,40,50,0.1479175443040536,7809,8185
faith-based,1999,42,Scientific & Tech Services,27,32,18,15,32,90,74,29,114,102,62,0.17739857376583373,7883,8132
vague,2003,35,Advertising & Retail,34,4,46,76,156,188,80,26,91,234,168,0.05585044459991454,7183,8098
hand-sanitizing,2006,5,Pharmaceuticals,196,7,51,74,129,63,94,102,60,61,74,0.12952734644531402,3699,8084
inkjets,2000,9,Software & Electronics,2,4,0,0,2,1,2,0,3,0,1,0.08281419010275826,6880,8026
hookah,2001,43,Restaurants & Hotels,3,1,1,6,7,32,26,6,33,72,165,0.4189838919220575,7714,7959
price-comparison,2004,35,Advertising & Retail,307,2,0,0,157,273,294,624,1131,873,542,0.13350984502567123,3488,7717
microdermabrasion,1998,10,Medical Devices,38,4,23,46,31,23,31,69,280,202,213,0.22875885220591036,6657,7698
hepatological,1998,5,Pharmaceuticals,7,3,1,1,4,1,2,0,0,41,223,0.1022909867306224,2817,7597
bullying,1998,41,Education & Entertainment,21,3,4,4,15,17,1,21,5,97,50,0.09617762714362026,5825,7567
cannabinoids,1998,5,Pharmaceuticals,1,1,0,0,0,0,0,0,0,8,0,0.07972601249143407,6395,7545
bill-posting,1995,35,Advertising & Retail,5,3,6,1,7,0,15,41,72,46,66,0.06206726863829789,5426,7509
bioinformatics,1996,9,Software & Electronics,145,12,23,28,71,255,236,314,103,110,174,0.1831310863666128,6039,7453
in-company,1996,16,"Paper, Print & Office",3,6,5,0,0,1,0,3,0,3,3,0.4841333669583779,7009,7421
toboggan,1995,25,"Clothing, Footwear & Headwear",4,1,4,1,0,0,0,1,14,2,22,0.11089234378354601,1748,7360
get-togethers,2002,16,"Paper, Print & Office",7,1,4,17,9,15,184,409,239,236,262,0.24371550700475425,7095,7348
co-working,2008,36,Insurance & Financial,16,1,1,2,19,24,89,105,224,327,834,0.15215033252041613,5491,7238
