cpc_class,cpc_section,cpc_section_name,n_early,n_late,black_share_early,black_share_late,n_black_early,n_black_late,delta_share,delta_n
B23,B,Performing Operations; Transporting,3017,1043,0.08119966854491216,0.08122253116011506,244.9794,84.7151,2.2862615202901004e-05,-160.2643
B24,B,Performing Operations; Transporting,1191,256,0.0746434928631402,0.064503125,88.90039999999999,16.5128,-0.01014036786314021,-72.38759999999999
B25,B,Performing Operations; Transporting,2115,1629,0.08411569739952718,0.06978139963167587,177.9047,113.6739,-0.014334297767851306,-64.23079999999999
B26,B,Performing Operations; Transporting,818,299,0.09123704156479218,0.08463076923076923,74.6319,25.3046,-0.0066062723340229446,-49.3273
B29,B,Performing Operations; Transporting,2807,1679,0.08665397221232633,0.07202692078618225,243.23770000000002,120.9332,-0.01462705142614408,-122.30450000000002
B32,B,Performing Operations; Transporting,1636,588,0.08697658924205379,0.08287840136054422,142.2937,48.7325,-0.004098187881509563,-93.5612
B41,B,Performing Operations; Transporting,2098,324,0.08172297426120113,0.06479351851851851,171.45479999999998,20.9931,-0.01692945574268262,-150.46169999999998
B60,B,Performing Operations; Transporting,8860,6514,0.08921063205417608,0.07153739637703407,790.4062,465.9946,-0.017673235677142005,-324.4116
B61,B,Performing Operations; Transporting,461,284,0.08481518438177875,0.09964964788732394,39.0998,28.3005,0.014834463505545195,-10.799300000000002
B62,B,Performing Operations; Transporting,2447,1543,0.09228941561095219,0.07754406999351912,225.8322,119.6505,-0.01474534561743307,-106.1817
B63,B,Performing Operations; Transporting,1827,754,0.09710919540229884,0.09052453580901856,177.4185,68.2555,-0.006584659593280279,-109.163
B64,B,Performing Operations; Transporting,1636,2336,0.0874989608801956,0.08772307363013698,143.1483,204.9211,0.0002241127499413853,61.77279999999999
B65,B,Performing Operations; Transporting,8284,3231,0.0885419483341381,0.08369650263076447,733.4815,270.4234,-0.004845445703373627,-463.05809999999997
B66,B,Performing Operations; Transporting,924,497,0.08710725108225108,0.08427122736418512,80.4871,41.8828,-0.002836023718065961,-38.604299999999995
B67,B,Performing Operations; Transporting,847,389,0.09410897284533647,0.0889776349614396,79.71029999999999,34.612300000000005,-0.005131337883896872,-45.097999999999985
C01,C,Chemistry; Metallurgy,711,451,0.08428087201125177,0.05967472283813747,59.923700000000004,26.9133,-0.0246061491731143,-33.010400000000004
C02,C,Chemistry; Metallurgy,1321,705,0.09218130204390612,0.07285148936170212,121.77149999999999,51.360299999999995,-0.019329812682204003,-70.4112
C03,C,Chemistry; Metallurgy,662,256,0.08569214501510575,0.064657421875,56.7282,16.5523,-0.02103472314010575,-40.1759
C04,C,Chemistry; Metallurgy,1125,337,0.07623555555555557,0.08220623145400593,85.76500000000001,27.7035,0.005970675898450364,-58.06150000000002
C07,C,Chemistry; Metallurgy,11727,5017,0.07462460987464825,0.06022064979071158,875.1228,302.127,-0.01440396008393667,-572.9957999999999
C08,C,Chemistry; Metallurgy,4327,1690,0.07948493182343425,0.06588112426035503,343.93129999999996,111.3391,-0.013603807563079218,-232.59219999999996
C09,C,Chemistry; Metallurgy,2297,1386,0.08368067043970397,0.07441746031746031,192.21450000000002,103.1426,-0.009263210122243654,-89.07190000000001
C10,C,Chemistry; Metallurgy,1390,629,0.08373539568345324,0.08118251192368839,116.3922,51.0638,-0.002552883759764854,-65.3284
C11,C,Chemistry; Metallurgy,931,296,0.08546272824919442,0.06673445945945945,79.5658,19.7534,-0.018728268789734964,-59.8124
C12,C,Chemistry; Metallurgy,5856,4936,0.07642327527322405,0.06061385737439223,447.53470000000004,299.19000000000005,-0.01580941789883182,-148.3447
C22,C,Chemistry; Metallurgy,836,269,0.0807696172248804,0.06763382899628254,67.52340000000001,18.1935,-0.013135788228597858,-49.32990000000001
C23,C,Chemistry; Metallurgy,1301,432,0.07490407378939277,0.056577314814814816,97.4502,24.4414,-0.01832675897457796,-73.0088
C25,C,Chemistry; Metallurgy,446,303,0.07973834080717489,0.05891452145214522,35.5633,17.851100000000002,-0.020823819355029666,-17.712199999999996
D06,D,Textiles; Paper,921,297,0.10616080347448426,0.10089898989898989,97.7741,29.967,-0.005261813575494365,-67.8071
E01,E,Fixed Constructions,1045,470,0.08831435406698565,0.10015617021276596,92.2885,47.0734,0.01184181614578031,-45.2151
E02,E,Fixed Constructions,1191,587,0.09448371116708648,0.07706064735945485,112.5301,45.2346,-0.01742306380763163,-67.2955
E03,E,Fixed Constructions,844,472,0.08659300947867297,0.09167245762711865,73.08449999999999,43.269400000000005,0.005079448148445673,-29.815099999999987
E04,E,Fixed Constructions,3375,1642,0.09139182222222222,0.08183227771010962,308.4474,134.3686,-0.009559544512112605,-174.07880000000003
E05,E,Fixed Constructions,1666,697,0.08944969987995198,0.08098292682926829,149.0232,56.4451,-0.00846677305068369,-92.5781
E06,E,Fixed Constructions,1117,475,0.09406714413607879,0.0783482105263158,105.07300000000001,37.2154,-0.015718933609762994,-67.8576
E21,E,Fixed Constructions,2454,2194,0.11085521597392013,0.08954430264357338,272.0387,196.4602,-0.02131091333034675,-75.57850000000002
F01,F,Mechanical Eng; Lighting; Weapons,1896,1266,0.08676065400843881,0.06764731437598737,164.4982,85.64150000000001,-0.019113339632451445,-78.85669999999999
F02,F,Mechanical Eng; Lighting; Weapons,2675,1261,0.08518456074766355,0.07218207771609834,227.8687,91.0216,-0.013002483031565204,-136.84709999999998
F03,F,Mechanical Eng; Lighting; Weapons,242,406,0.096701652892562,0.08929211822660099,23.4018,36.2526,-0.007409534665961004,12.8508
F04,F,Mechanical Eng; Lighting; Weapons,1349,784,0.08919599703484063,0.08069068877551021,120.3254,63.2615,-0.008505308259330421,-57.063900000000004
F16,F,Mechanical Eng; Lighting; Weapons,6797,3117,0.0861725614241577,0.07807147898620467,585.7149,243.34879999999998,-0.00810108243795303,-342.36609999999996
