class_id,ethnic,n_eff,n_indiv,share_in_class,mean_dkl,share_positive_dkl,class_name
006,Black,519.9104,7906,0.06576149759676195,0.03924269081356651,0.5665914742232508,Common Metals
006,API,3063.194,7906,0.38745180875284596,0.11894497083918429,0.7705479966335793,Common Metals
006,AIAN,36.850300000000004,7906,0.004661054895016443,0.049947817568293806,0.5917590901566608,Common Metals
006,2+races,125.84540000000001,7906,0.01591770806982039,0.061713385520889355,0.6144205509299505,Common Metals
006,Hispanic,446.372,7906,0.05645990387047812,0.04663537682625123,0.5925994462018227,Common Metals
007,White,3731.0831,9106,0.40973897430265754,0.020066129325936082,0.483984556655948,Machines
007,Black,540.0556000000001,9106,0.05930766527564245,0.02990388937750301,0.5053818532758477,Machines
007,API,4140.0851999999995,9106,0.4546546452888205,0.15738780384903764,0.804986066470323,Machines
007,AIAN,36.2492,9106,0.003980803865583132,0.03550437937624573,0.5168003707668032,Machines
007,2+races,143.3372,9106,0.015740962003074895,0.07952828928390965,0.6193849189184665,Machines
007,Hispanic,484.9898,9106,0.053260465627059085,0.03140123239688731,0.5190335961704762,Machines
008,White,3275.651,9186,0.35659166122360114,0.06359135807371322,0.5805220702693907,Hand Tools
008,Black,515.9294,9186,0.05616475070759852,0.07130419966915165,0.5888162217543719,Hand Tools
008,API,4730.7020999999995,9186,0.5149904310907902,0.110629198573771,0.6577490263020367,Hand Tools
008,AIAN,34.057,9186,0.0037074896581754846,0.07676366124158947,0.5809378395043604,Hand Tools
008,2+races,152.707,9186,0.016623884171565424,0.08618390894692403,0.6175846555822588,Hand Tools
008,Hispanic,447.802,9186,0.0487483126496843,0.0791701577774521,0.6144820702006689,Hand Tools
009,White,60417.6797,109916,0.5496713826922377,0.013644037444544229,0.4866729216679931,Electronics & Software
009,Black,10596.292099999999,109916,0.09640354543469558,0.010239448330970539,0.4843830513128268,Electronics & Software
009,API,27650.969900000004,109916,0.2515645574802577,-0.06310713289379725,0.30835775854647324,Electronics & Software
009,AIAN,551.5500000000001,109916,0.005017922777393647,0.009701291503693702,0.47381470401595494,Electronics & Software
009,2+races,1927.4940000000001,109916,0.017536063903344373,-0.0013910763594938522,0.4519551811834434,Electronics & Software
009,Hispanic,8382.2905,109916,0.07626087648749953,0.003389515696123612,0.46370314891854447,Electronics & Software
010,White,6367.2198,13868,0.4591303576579175,0.0465646159640313,0.5478495339520084,Surgical/Medical/Dental
010,Black,944.1105,13868,0.06807834583213153,0.04677280806534244,0.5508840331719645,Surgical/Medical/Dental
010,API,5325.629,13868,0.384022858379002,0.10050098345567716,0.693451458973203,Surgical/Medical/Dental
010,AIAN,55.1268,13868,0.003975108162676666,0.057054793233425875,0.5829142993970264,Surgical/Medical/Dental
010,2+races,235.2186,13868,0.016961248918373233,0.06845248412044838,0.6037307423817674,Surgical/Medical/Dental
010,Hispanic,891.4395999999999,13868,0.06428032881453706,0.06450864771709984,0.5826207406536573,Surgical/Medical/Dental
011,White,4867.719999999999,18977,0.2565062970964852,0.06662863682742089,0.5719378476987174,Lighting/Heating
011,Black,734.1253,18977,0.038685002898245245,0.06787819521986935,0.5647523658427246,Lighting/Heating
011,API,12276.749800000001,18977,0.6469278495020289,0.06599021035898062,0.5721333670903678,Lighting/Heating
011,AIAN,46.4863,18977,0.002449612689044633,0.07333087802727846,0.5629422001751053,Lighting/Heating
011,2+races,291.6354,18977,0.01536783474732571,0.07049302972127222,0.5787044371156588,Lighting/Heating
011,Hispanic,709.0098,18977,0.037361532381303686,0.07382202113681158,0.5999746406890284,Lighting/Heating
012,White,5402.608200000001,12891,0.41909923202234123,0.04072670258736562,0.550158162496403,Vehicles
012,Black,791.8165,12891,0.06142397796912575,0.03986192607971066,0.542526203987919,Vehicles
012,API,5703.5238,12891,0.44244230858738653,0.1415500797627411,0.8379542660977413,Vehicles
012,AIAN,48.7432,12891,0.003781180668683578,0.04139320096216728,0.5523519178059709,Vehicles
012,2+races,204.22050000000002,12891,0.01584209913893414,0.08123714259791599,0.6620021006705986,Vehicles
012,Hispanic,700.3171,12891,0.05432604918159956,0.06013479035117516,0.6036071373953313,Vehicles
013,White,738.8415,1165,0.634198712446352,0.0660043831120389,0.5704679555763991,Firearms
013,Black,105.63130000000001,1165,0.09067064377682404,0.08122203506739044,0.5766387424939388,Firearms
013,API,215.68630000000002,1165,0.18513845493562234,0.03447135332235446,0.489256387633336,Firearms
013,2+races,19.4576,1165,0.016701802575107297,0.06392390203603343,0.5620271770413617,Firearms
013,Hispanic,72.6797,1165,0.062386008583690984,0.0778342724401197,0.5550298088737297,Firearms
014,White,7105.5333,17205,0.4129923452484743,0.022612304546203454,0.5240019633712786,Jewelry
014,Black,1133.8548,17205,0.06590263295553618,0.028684029203326054,0.5363079999308553,Jewelry
014,API,7465.9241,17205,0.4339392095321128,0.07950289177938014,0.6764005141707775,Jewelry
014,AIAN,62.96130000000001,17205,0.0036594768962510903,0.02872130896224125,0.5416263641316174,Jewelry
014,2+races,290.3852,17205,0.016877954083115373,0.04773764458060715,0.5939242082585476,Jewelry
014,Hispanic,1088.0542,17205,0.06324058122638768,0.04443304293741307,0.567453808826803,Jewelry
015,White,1014.625,1920,0.5284505208333333,-0.03935037929272239,0.421814857706049,Musical Instruments
015,Black,132.1712,1920,0.06883916666666666,-0.017767424627761135,0.45486762623022264,Musical Instruments
015,API,622.0105000000001,1920,0.32396380208333336,-0.032651059304977595,0.40934341140543445,Musical Instruments
015,2+races,32.2151,1920,0.016778697916666665,-0.03245754299113197,0.4264118379269348,Musical Instruments
015,Hispanic,104.9122,1920,0.05464177083333333,0.0031773703037485793,0.4786621574993185,Musical Instruments
016,White,37245.8254,58922,0.632120861477886,0.02931650889420182,0.5308764562913941,Paper/Print
016,Black,6529.5839000000005,58922,0.1108174179423645,0.04098853739657752,0.5555475288402374,Paper/Print
016,API,9437.283599999999,58922,0.160165703811819,0.07628012001818321,0.6985388358997712,Paper/Print
016,AIAN,337.4258,58922,0.005726652184243576,0.034090949660569185,0.5468997924877114,Paper/Print
016,2+races,1039.4189000000001,58922,0.01764059095074845,0.04123496898085551,0.5666237163861462,Paper/Print
016,Hispanic,4132.6879,58922,0.07013828281456841,0.05135261153572191,0.5825106464003731,Paper/Print
017,White,1028.8691000000001,2043,0.5036069995105238,0.02636919322730101,0.5343246288570624,Rubber/Plastic
017,Black,141.65890000000002,2043,0.06933866862457172,0.019617069302375407,0.5391500286956907,Rubber/Plastic
017,API,681.2107,2043,0.33343646598139987,0.09672673834406094,0.7425668739495725,Rubber/Plastic
017,2+races,34.2732,2043,0.016775917767988254,0.047124043729986916,0.5897494252068671,Rubber/Plastic
017,Hispanic,140.8456,2043,0.06894057758198727,0.04494573379066693,0.5695193886070989,Rubber/Plastic
018,White,7242.6873000000005,18419,0.3932182691785656,0.0405068325516105,0.5205215749132232,Leather
018,Black,1272.8975,18419,0.06910785058906564,0.036146622146860076,0.5189226155287444,Leather
018,API,8177.5960000000005,18419,0.4439761116238667,0.024710282087807157,0.4914203880944962,Leather
018,AIAN,74.5274,18419,0.004046224007818014,0.03998823484163053,0.4981791931558058,Leather
018,2+races,312.011,18419,0.016939627558499377,0.03145126156084264,0.504080945864088,Leather
018,Hispanic,1282.173,18419,0.06961143384548564,0.036538658793466475,0.5109486005398648,Leather
019,White,2133.8920000000003,3300,0.6466339393939394,0.009235263159393457,0.4818946319682532,Building Materials
019,Black,294.3404,3300,0.0891940606060606,0.011569059900281684,0.49235205224970824,Building Materials
019,API,521.5843,3300,0.1580558484848485,0.027095633815234534,0.5863796130366654,Building Materials
019,AIAN,19.3309,3300,0.005857848484848485,0.008500319257892106,0.4829935491880875,Building Materials
019,2+races,56.1769,3300,0.01702330303030303,0.01652950189910507,0.5152900925469366,Building Materials
019,Hispanic,262.7115,3300,0.07960954545454546,-0.00039694731208258946,0.48686144306587265,Building Materials
020,White,7980.1439,22005,0.3626513928652579,0.07238609148707026,0.5969058277257381,Furniture
020,Black,1164.7592,22005,0.052931570097705063,0.07869898860865583,0.6000234211500541,Furniture
020,API,11349.1545,22005,0.5157534423994546,0.16768704117092845,0.8777472630229856,Furniture
020,AIAN,75.2964,22005,0.003421785957736878,0.07475289025797682,0.6300394175551554,Furniture
020,2+races,351.62750000000005,22005,0.015979436491706432,0.1195150696911543,0.7322578581026795,Furniture
020,Hispanic,1017.9720000000001,22005,0.04626094069529653,0.09790563590353146,0.6627748110950007,Furniture
021,White,10666.0536,35265,0.30245437686091026,0.08292092899594108,0.6415813717643422,Household Utensils
021,Black,1781.9239000000002,35265,0.05052953069615767,0.08131770237622069,0.6555360192430215,Household Utensils
021,API,20243.8796,35265,0.5740501800652205,0.08840860652278822,0.6850317218839812,Household Utensils
021,AIAN,111.1449,35265,0.003151705657167163,0.07831609834259196,0.6242778571036548,Household Utensils
021,2+races,575.4041,35265,0.01631657734297462,0.0854578043899753,0.6690178259070452,Household Utensils
021,Hispanic,1787.0548000000001,35265,0.050675026229973066,0.0830811525392089,0.6674629116018155,Household Utensils
022,White,933.7657,2459,0.3797339162261082,0.11744530764686043,0.6368600817100051,Ropes/Nets/Textiles
022,Black,147.02660000000003,2459,0.05979121594143962,0.12451173698539081,0.6270069497628319,Ropes/Nets/Textiles
022,API,1207.0198,2459,0.4908579910532737,0.1541516731015063,0.6938369196594786,Ropes/Nets/Textiles
022,2+races,39.2303,2459,0.01595376169174461,0.13215156879892992,0.6622406660158092,Ropes/Nets/Textiles
022,Hispanic,114.76320000000001,2459,0.046670679137860924,0.12946215545355338,0.6865894293641166,Ropes/Nets/Textiles
023,White,71.65469999999999,223,0.3213215246636771,0.12403186962553818,0.6447797562476714,Yarns
023,Black,12.814900000000002,223,0.05746591928251122,0.08550768615117454,0.5516078939359651,Yarns
023,API,121.64160000000001,223,0.5454780269058297,0.3691415415216454,0.9557971943808696,Yarns
023,Hispanic,12.108400000000001,223,0.054297757847533636,0.18441084919138473,0.7250338607908559,Yarns
024,White,3375.5714000000003,11477,0.2941161801864599,0.059419134958250616,0.5551712518953088,Fabrics
024,Black,644.4533000000001,11477,0.0561517208329703,0.06052685577311578,0.5642202468355736,Fabrics
024,API,6708.5133000000005,11477,0.5845180186459876,0.023167738088133043,0.43261348233445407,Fabrics
024,AIAN,35.5392,11477,0.0030965583340594235,0.07120266989276115,0.5739859085179182,Fabrics
024,2+races,190.7074,11477,0.016616485144201446,0.04182610310048734,0.49674632447403716,Fabrics
024,Hispanic,490.9037,11477,0.04277282390868694,0.047783152978125104,0.5481863347128978,Fabrics
025,White,80610.97510000001,148319,0.5434972936710739,-0.013531825430047557,0.4021508877641649,Clothing & Footwear
025,Black,19909.4727,148319,0.1342341352085707,-0.010792230771499971,0.41188517765214344,Clothing & Footwear
025,API,27926.423500000004,148319,0.1882862175446167,-0.03298857399467593,0.3864154462887093,Clothing & Footwear
025,AIAN,857.6043,148319,0.005782160748117234,-0.012188834162032055,0.4066945559857851,Clothing & Footwear
025,2+races,2731.4327000000003,148319,0.01841593255078581,-0.01577455276835364,0.40291514412930624,Clothing & Footwear
025,Hispanic,15842.599600000001,148319,0.10681436363513779,-0.01046446836207003,0.41013735523556366,Clothing & Footwear
026,White,1989.5851000000002,7107,0.27994724919093855,0.13052318618135023,0.6187203050525458,Lace/Embroidery
026,Black,468.33090000000004,7107,0.06589712959054454,0.16176172396602687,0.6596904026618785,Lace/Embroidery
026,API,4183.125400000001,7107,0.5885922892922472,0.15522843158989866,0.6968590279411656,Lace/Embroidery
026,AIAN,23.8322,7107,0.0033533417757140847,0.12600375470368697,0.617257324124504,Lace/Embroidery
026,2+races,113.68610000000001,7107,0.015996355705642326,0.15168837538753124,0.6739830111156948,Lace/Embroidery
026,Hispanic,310.8782,7107,0.043742535528352326,0.14719131296808913,0.6559523955040915,Lace/Embroidery
027,White,460.2994,1914,0.24049080459770114,0.11966255092973688,0.6370833852922685,Carpets
027,Black,69.7148,1914,0.03642361546499477,0.11473024432047134,0.6089123113026216,Carpets
027,API,1274.0617,1914,0.6656539707419018,0.10644103851741646,0.5774655183497001,Carpets
027,2+races,29.9345,1914,0.015639759665621734,0.11855198326473394,0.5981325894870467,Carpets
027,Hispanic,68.529,1914,0.035804075235109714,0.08467216294206466,0.5842504633075049,Carpets
028,White,18820.9614,40632,0.4632053898405198,0.005977377892976241,0.4837225584023567,Toys & Sports
028,Black,2855.8713,40632,0.07028625959834613,0.008997897053778429,0.49460145490449803,Toys & Sports
028,API,15732.3108,40632,0.38719016538688716,0.032455010943830215,0.5437032555954845,Toys & Sports
028,AIAN,167.9461,40632,0.004133345638905296,0.007890108922189498,0.49331005602392675,Toys & Sports
028,2+races,669.8029,40632,0.016484615573931875,0.017317941213604512,0.5093622317849027,Toys & Sports
028,Hispanic,2257.3692,40632,0.05555643827525104,0.027013034988545365,0.5269736115828992,Toys & Sports
029,White,4648.632799999999,7719,0.6022325171654359,0.003256163529284603,0.48128574491837695,Meat/Fish/Dairy
029,Black,731.4647,7719,0.09476158828863843,-0.0009241893375305275,0.4837966890268253,Meat/Fish/Dairy
029,API,1137.6999,7719,0.14738954527788575,0.026266613833541803,0.5516133911939344,Meat/Fish/Dairy
029,AIAN,39.950100000000006,7719,0.005175553828216091,-0.006601812402615282,0.4814330877770017,Meat/Fish/Dairy
029,2+races,141.47910000000002,7719,0.018328682471822778,0.005370463235520204,0.49917903068368397,Meat/Fish/Dairy
029,Hispanic,981.0792,7719,0.12709926156237855,0.0067798439424366285,0.5072418210476789,Meat/Fish/Dairy
030,White,10182.8783,16741,0.6082598590287319,0.024537732507253506,0.5563421297100251,Coffee/Tea/Sugar
030,Black,1766.8444,16741,0.10553995579714473,0.029472325982879466,0.5703458097385372,Coffee/Tea/Sugar
030,API,2265.8675000000003,16741,0.13534839615315694,0.06330585548813887,0.6776613372141133,Coffee/Tea/Sugar
030,AIAN,100.6318,16741,0.006011098500686936,0.026114555400103687,0.5663736512712682,Coffee/Tea/Sugar
