stratum,token,tm_lift,tm_slope,google_lift,google_slope
neutral,systemization,1892.4594886606374,0.19996800003097398,1.396089095782963,0.010241839196866566
neutral,commissioned,27.105032321807712,0.0952853978944086,0.9591265101385477,-0.0005060825810111363
neutral,get-togethers,inf,0.23934530845226487,1.9179111355278566,0.024466132966500114
neutral,chatroom,inf,0.17615890186335476,250.67650715011615,0.19063253493790278
neutral,traceability,137.20779971176,0.14133657798544297,5.653911490642242,0.05660516235212962
neutral,image-recorded,inf,0.06191722208642686,0.33602543403004653,-0.02557263944770051
neutral,guarantees,5.481237834805663,0.08861062576019615,0.7677116484700088,-0.011891832840190138
neutral,choice,51.321768340633696,0.11582685966167537,1.5428414594749214,0.015219488581444856
neutral,computerised,155.89175994821167,0.17814111924790374,0.2518464702659611,-0.04508427999209929
neutral,schemes,54.17275045831965,0.15269896341852102,0.7691827830770775,-0.007612113532627799
positive,non-fungible,inf,0.2434324823770091,2.8834121595142554,0.018622405266150478
positive,nfts,inf,NaN,2.0754077484325326,0.011564221080098493
positive,authenticated,inf,0.11020131231999737,1.4943340173620359,0.016806189907328274
positive,blockchain-based,inf,1.1694923872189527,inf,0.44082709862461833
positive,crypto,563.5723213642732,0.14790258940991544,7.072539618028037,0.05350500047039819
positive,cryptocurrencies,inf,0.8070800185883331,inf,0.5041850032598035
positive,blockchain,inf,0.7765236341736789,inf,0.40302886462583043
positive,cryptocurrency,inf,0.6538405761284756,inf,0.46864407581687406
positive,decentralized,98.90287993412404,0.12300577031968875,1.342999752445185,0.0063728875520415494
positive,add-in,26.57911409411319,0.11101633692596694,0.5240533806423271,-0.01000823471585864
positive,cryptographic,32.956508082926696,0.0941308634795111,6.727481345081501,0.060809912382972044
positive,repellers,3.3934258578728946,0.08478389658439531,0.9278134333300642,-0.005434403394609971
positive,animal-activated,535.4068059475273,0.13038089336810396,3.4245846285149613,0.011360626201365822
positive,cartomizers,inf,0.07396532496354474,NaN,NaN
positive,weaves,inf,0.2159666652730192,1.8992646988553443,0.019026164787280954
positive,home-health,159.85198070145236,0.14616998939742418,0.460288023646699,-0.03135569207749285
positive,party-themed,inf,0.14451028040894615,inf,0.0449930322637589
positive,toupees,11.808753497228876,0.10407608464533745,0.4259051681254769,-0.02238649613310894
positive,hairpieces,3.2369510431938338,0.045412492510466,0.8330888065969165,-0.001270132870154112
positive,bio-polymer,198.30607370282172,0.17908563121034052,10.00366976389157,0.05998556974354544
positive,workbook,5.29951842888787,0.041764269625390364,1.236930607951877,0.016053887277565883
positive,wig,37.384081186570704,0.1099094329425506,2.6432454477567315,0.036805498825459686
positive,enlargers,4.070875410780523,0.045052440135493914,0.08803546304501968,-0.07403402398294127
positive,agave,inf,0.19793508179947886,4.561874740264503,0.056694778968034376
positive,equivalent,16.268572859229938,0.07778670986007973,0.6900439025417736,-0.010762123624569945
