cls,label,skipped,n,p_registered,reg_q1,reg_q1_n,reg_q2,reg_q2_n,reg_q3,reg_q3_n,reg_q4,reg_q4_n,reg_q5,reg_q5_n,reg_lift_q5_q1,reg_inverseU_depth,reg_inverseU_se
011,Lighting & Heating,false,121770,0.6663463907366346,0.6445758396977909,24354,0.6708548903670855,24354,0.6732498460275097,24355,0.6569211185480228,24353,0.686129588568613,24354,0.04155374887082208,0.007897131894307852,0.0036883204503001645
012,Vehicles,false,89336,0.6376824572400824,0.6021258741258741,17875,0.6323068309070549,17860,0.659204119326132,17867,0.6608831924777523,17867,0.6339060838417194,17867,0.031780209715845276,0.0411881403423352,0.004379335912986893
013,Firearms,false,9904,0.6630654281098546,0.6431095406360424,1981,0.6653266331658292,1990,0.6768138001014713,1971,0.6506814740030288,1981,0.679454820797577,1981,0.0363452801615346,0.015531619384661632,0.012942631257075975
014,Jewelry,false,74419,0.5901449898547414,0.5261354474603601,14884,0.5853265251276538,14884,0.5988040045689713,14883,0.61126041386724,14884,0.6291991400161246,14884,0.10306369255576453,0.02113671083072899,0.004933294667514127
015,Musical Instruments,false,8654,0.6707880748786689,0.6447140381282496,1731,0.6510687463893703,1731,0.6526011560693642,1730,0.6770652801848642,1731,0.7284806470248412,1731,0.0837666088965916,-0.03399618650718117,0.01389975355960308
016,Paper & Printed Goods,false,328797,0.5754036685249562,0.5512621654501216,65760,0.5722714761477516,65759,0.5919645980017945,65759,0.6007238552897702,65759,0.5607968369829683,65760,0.009534671532846706,0.03593509678524942,0.0023558713388440126
017,Rubber & Plastics,false,37881,0.7071619017449381,0.6753760886777513,7578,0.704065469904963,7576,0.7273927392739274,7575,0.7261087645195353,7576,0.7028775079197466,7576,0.02750141924199523,0.038265940975178436,0.006349343619784521
018,Leather Goods,false,102160,0.5925606891151135,0.5176194205168363,20432,0.5907400156617071,20432,0.6160434612372748,20432,0.6176096319498825,20432,0.6207909162098669,20432,0.10317149569303063,0.04683829287392316,0.004192528158174446
019,Building Materials,false,53461,0.6661117450103814,0.6422893481717011,10693,0.6581556303778526,10692,0.6796034789114374,10693,0.6966607426807595,10691,0.6538533482977927,10692,0.0115640001260916,0.03153213067669047,0.0055703030908374135
020,Furniture,false,103421,0.613676139275389,0.5656756103456612,20685,0.599013730419648,20684,0.6193676271514214,20684,0.630777412492748,20684,0.6535486366273449,20684,0.0878730262816837,0.009755503664918286,0.004141317047149953
021,Household Utensils,false,122747,0.6055219272161437,0.5565376782077394,24550,0.5764389588170598,24549,0.6034461688867163,24549,0.6074381848547802,24549,0.6837474541751527,24550,0.12720977596741334,-0.016696397304729715,0.003813853618500114
022,Cordage & Fibers,false,15280,0.6698298429319371,0.6357984293193717,3056,0.6613219895287958,3056,0.6668848167539267,3056,0.6701570680628273,3056,0.7149869109947644,3056,0.07918848167539272,-0.008507853403141308,0.010419351263278198
023,Yarns & Threads,true,2262,,,,,,,,,,,,,,
024,Textiles,false,60160,0.5852726063829787,0.511469414893617,12032,0.5743849734042553,12032,0.5967420212765957,12032,0.591539931854068,12033,0.6522317346853961,12031,0.1407623197917791,0.014891446487089177,0.005487354588656775
025,Clothing & Footwear,false,453839,0.515962709242705,0.475383106939441,90771,0.5085109899190217,90765,0.5310299998898278,90767,0.5439472060638111,90768,0.5209435043187026,90768,0.0455603973792616,0.032866694260755946,0.0020299736218465517
026,Lace & Embroidery,false,24584,0.6069801496908558,0.5458612975391499,4917,0.5875533862111043,4917,0.5986682808716707,4956,0.6085708427311872,4877,0.6943258084197681,4917,0.14846451088061818,-0.02142527210778833,0.00851087232250246
027,Carpets,false,16028,0.6232218617419516,0.6157205240174672,3206,0.5953198127925117,3205,0.619463505926388,3206,0.6166303332295235,3211,0.6690625,3200,0.05334197598253276,-0.022928006082345576,0.010458878601613724
028,Games & Sporting Goods,false,209204,0.5477476530085467,0.5141129514112951,41841,0.5330178533017853,41841,0.5409416826003824,41840,0.5606223560622356,41841,0.5900432590043259,41841,0.07593030759303077,-0.011136422607428087,0.0029816389963495814
029,Meats & Processed Foods,false,98708,0.5606131215301698,0.569236223662885,19744,0.5570697603728659,19739,0.5640765879850066,19742,0.5595461222835723,19741,0.5531354472697801,19742,-0.01610077639310481,0.002890752518673989,0.004323416584618747
030,Staple Foods,false,149139,0.5625959675202328,0.5546801662867105,29828,0.5614858522193912,29828,0.5705904046669126,29827,0.5736363941131114,29829,0.5525865826264794,29827,-0.0020935836602310465,0.016957030210317692,0.0035152735345303034
031,Agricultural Products,false,44495,0.5980671985616361,0.6204067872794696,8899,0.6052365434318463,8899,0.5968539325842697,8900,0.6001348617666892,8898,0.5677042364310597,8899,-0.05270255084840991,0.0027984207290050467,0.006370663500299631
032,Beer & Soft Drinks,false,75777,0.4825342782110667,0.485616257587754,15156,0.47614648630814915,15155,0.49891125041240514,15155,0.48578027053777634,15155,0.46621799947215625,15156,-0.019398258115597755,0.02299412188244998,0.004972378962532472
033,Alcoholic Beverages,false,48929,0.5234932248768623,0.5145601307857361,9787,0.5099642309657639,9785,0.5368421052631579,9785,0.5306560392397303,9786,0.5254445125689761,9786,0.010884381783239916,0.016839783585801738,0.00617760873759571
034,Tobacco,false,24329,0.4996506227136339,0.511508425811755,4866,0.48438783894823334,4868,0.5165535677565289,4863,0.5005134524543027,4869,0.48529714168208926,4863,-0.02621128412966578,0.01815078400960679,0.008777719345910992
035,Advertising & Retail,false,777162,0.6146028755909322,0.5910006240631012,155433,0.6297995264810335,155432,0.6423709403469041,155432,0.6276056410520356,155432,0.5822380060862237,155433,-0.008762617976877496,0.055751625272241756,0.0015026917584769128
036,Insurance & Finance,false,311244,0.6296089241880968,0.6253594435251972,62249,0.6451991196645729,62249,0.6456753630638735,62248,0.6307410560812222,62249,0.601069896705168,62249,-0.024289546820029262,0.03246069294869092,0.0023622845232177375
037,Construction & Repair,false,136460,0.690546680345889,0.6476989594020226,27292,0.6895288341760094,27294,0.7207401978746794,27290,0.7169866627583175,27292,0.6777810347354536,27292,0.03008207533343099,0.05800020080594126,0.0033867773726950086
038,Telecommunications,false,139492,0.522366874085969,0.4775798415713825,27899,0.5228861249507151,27899,0.561278990572463,27897,0.5616531651014409,27898,0.48844044589411806,27899,0.010860604322735556,0.07826884683971269,0.003647218775274745
039,Transport & Storage,false,92215,0.649644851705254,0.635146125901426,18443,0.6548826112888358,18443,0.6792278913408881,18443,0.6713650655968774,18446,0.6075921908893709,18440,-0.027553935012055164,0.05785873294548971,0.00426525028186685
040,Material Treatment,false,71445,0.6670445797466583,0.6449016726152985,14289,0.6966897613548884,14289,0.7099867030582966,14289,0.6878717894884177,14289,0.5957729722163903,14289,-0.049128700398908265,0.0896493806424522,0.004759342771629277
041,Education & Entertainment,false,691677,0.6174717389764297,0.5879886652787416,138336,0.6213756460765533,138335,0.6412286028221142,138336,0.6365463298972053,138334,0.6002197547999075,138336,0.012231089521165917,0.04712439278278968,0.0015920432918519714
042,Scientific & Tech Services,false,550977,0.5997891019044352,0.5521253040037751,110196,0.6353645809700985,110195,0.6442397567947729,110195,0.6149734561459231,110195,0.5522432756179898,110196,0.00011797161421467361,0.09205546698389044,0.0017893823265063044
043,Hotels & Restaurants,false,101192,0.6054727646454265,0.5933903077607074,20243,0.6135790878094579,20237,0.6185322461082283,20235,0.6143393615969958,20238,0.5875290281140373,20239,-0.005861279646670159,0.028072578170855955,0.004199278593566728
044,Medical & Beauty Services,false,135131,0.6337331922356824,0.6218966218966219,27027,0.6458225412565678,27026,0.6504847184192999,27026,0.6380892473914008,27026,0.612373270184267,27026,-0.009523351712354855,0.03334977237885539,0.0035754279220593928
045,Legal & Personal Services,false,95015,0.634868178708625,0.598694942903752,19003,0.6580539914750303,19003,0.6706482845716691,19004,0.6551415640458899,19002,0.5918012945324422,19003,-0.006893648371309791,0.07540016585357201,0.004238157197673097
