year,ethnic,tier,weight_in_tier,share_within_ethnic
1907,Two+,OTHER,0.023799999999999998,0.09015151515151514
1907,AIAN,FOOD_HYG,0.008900000000000002,0.11439588688946019
1907,AIAN,MANUF,0.0603,0.7750642673521851
1907,AIAN,OTHER,0.0086,0.11053984575835477
1908,White,FOOD_HYG,2.3892,0.286210572972196
1908,White,MANUF,5.1299,0.614528552775016
1908,White,OTHER,0.8286,0.09926087425278819
1908,Black,FOOD_HYG,0.43270000000000003,0.39469123415123597
1908,Black,MANUF,0.5595,0.5103530055641704
1908,Black,OTHER,0.1041,0.09495576028459363
1908,API,FOOD_HYG,0.023,0.02589798446120932
1908,API,MANUF,0.8553000000000001,0.9630672221596667
1908,API,OTHER,0.0098,0.011034793379123971
1908,Hispanic,FOOD_HYG,0.0684,0.21797323135755256
1908,Hispanic,MANUF,0.21989999999999998,0.7007648183556404
1908,Hispanic,OTHER,0.0255,0.08126195028680687
1908,Two+,FOOD_HYG,0.06130000000000001,0.24344718030182685
1908,Two+,MANUF,0.1719,0.682684670373312
1908,Two+,OTHER,0.018600000000000002,0.07386814932486101
1908,AIAN,FOOD_HYG,0.025500000000000002,0.3695652173913043
1908,AIAN,MANUF,0.0302,0.43768115942028984
1908,AIAN,OTHER,0.013300000000000001,0.1927536231884058
1909,White,MANUF,8.5113,1.0
1909,Black,MANUF,1.8528,1.0
1909,API,MANUF,0.0373,1.0
1909,Hispanic,MANUF,0.2585,1.0
1909,Two+,MANUF,0.1995,1.0
1909,AIAN,MANUF,0.0685,1.0
1910,White,FOOD_HYG,0.7342000000000001,0.12299805669101387
1910,White,IP_HIGH,0.8448000000000001,0.14152650271393152
1910,White,MANUF,3.599,0.602928365610132
1910,White,OTHER,0.7912,0.1325470749849226
1910,Black,FOOD_HYG,0.2061,0.2286443310406035
1910,Black,IP_HIGH,0.10960000000000002,0.12158863989349901
1910,Black,MANUF,0.42969999999999997,0.4767029065897492
1910,Black,OTHER,0.156,0.1730641224761482
1910,API,FOOD_HYG,0.005200000000000001,0.0034278180619644037
1910,API,IP_HIGH,0.0051,0.0033618984838497032
1910,API,MANUF,1.5019000000000002,0.9900461437046804
1910,API,OTHER,0.0048,0.003164139749505603
1910,Hispanic,FOOD_HYG,0.0246,0.12765957446808512
