nice_class,label,n_filings,n_firms,n_firms_eligible,class_mean_pros,class_mean_retr,class_mean_dkl,ever_public_rate,surv_argmax_pos,surv_quad_a,surv_slope_left,surv_slope_right,surv_overall_slope,pub_argmax_pos,pub_quad_a,pub_slope_left,pub_slope_right,pub_overall_slope
012,Vehicles,149748,9440,1288,4.888001060538001,4.822354138730903,0.06564692180709862,0.09316770186335403,1.0,-0.00513026319742125,0.03688917828331589,0.0,0.03688917828331589,1.0,-0.009054025636085714,0.012745361012550523,0.0,0.012745361012550523
013,Firearms,15939,1192,164,4.497235480227831,4.451173597227209,0.04606188300062193,0.08536585365853659,1.0,0.037554233397309,0.005612696163504066,0.0,0.005612696163504066,,,,,
014,Jewelry,126841,6875,618,4.55067711051654,4.49777375810563,0.05290335241090989,0.06472491909385113,1.0,-0.011686588198906018,0.030734529531541026,0.0,0.030734529531541026,0.4000000000000001,-0.009629436122093098,0.03553584114020839,-0.0416643363189626,-0.0014635631426089205
015,Music,13771,768,84,4.441317465608138,4.492983362163223,-0.05166589655508512,0.011904761904761904,0.3333333333333333,-0.0005783621714366774,0.0892386409357159,-0.09759699511214827,-0.04649837170727099,,,,,
016,Paper,485304,30796,3936,5.406941361786055,5.373434559759185,0.033506802026869405,0.08409552845528455,0.2857142857142858,0.0015643303376295253,0.018876596854381963,-0.0036042228898555155,-0.0035385630424816465,0.2142857142857143,-0.010729894412371084,0.09484732351360883,-0.003417730515617002,0.009687567143111597
017,Rubber,56907,4306,607,4.958285173369745,4.92177248191938,0.03651269145036632,0.08896210873146623,1.0,-0.0017921167719316526,0.05871688697001715,0.0,0.05871688697001715,0.6363636363636362,-0.09270652906975865,0.10408869296868864,-0.1800922039774249,0.01163049292437776
018,Leather,171795,10138,914,4.339917671278718,4.320056222974913,0.019861448303803875,0.061269146608315096,0.5,-0.017732569391291114,0.0682132550131803,-0.01911026591836685,0.01543129382359544,1.0,-0.004269782147744191,0.021119137449710786,0.0,0.021119137449710786
019,Building,77035,5846,848,5.070204684038293,5.065443388364614,0.004761295673677835,0.060141509433962265,0.8571428571428572,-0.020715369176568667,0.0460475004893937,-0.020919395847330623,0.03482221441954489,0.3333333333333334,-0.037644154851691924,0.14084305279257098,-0.05311766831215831,-0.006489253116515823
020,Furniture,198761,10902,1251,5.1043038572239645,4.9890861643489215,0.11521769287504373,0.08313349320543566,1.0,0.0024607756401160428,0.01486689672964082,0.0,0.01486689672964082,0.3333333333333333,-0.01965125918388768,0.04810528388262457,-0.03338537903485419,-0.004154898424721182
021,Housewares,272806,13771,1412,4.83204953657355,4.736608568115396,0.09544096845815399,0.08002832861189801,1.0,-0.0018199256365320489,0.013591249259239236,0.0,0.013591249259239236,0.8571428571428572,-0.00016437621792368803,0.013076210810920618,-0.05930044481290148,0.015061958024297727
022,Cordage,28892,1655,125,4.6568225661750615,4.529259819240016,0.12756274693504616,0.064,0.49999999999999994,-0.01050576104300905,0.04968511705668595,-0.004750850959962424,0.012772853449827423,,,,,
023,Yarns,4054,278,20,3.5123223424675936,3.3679772751240837,0.1443450673435091,0.05,,,,,,,,,,
